Session Title,"Opioid OD Heat Firearms in ED, State Month Age",,,,,,
Session ID,2776113,,,,,,
Data Model,Patients,,,,,,
Population Base,All Patients,,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,,
Session Date Range,1/1/2019 - 12/31/2019,,,,,,
Measure,Number of Patients,,,,,,
Export User,Stephanie Perniciaro,,,,,,
Date of Export,11/13/2025,,,,,,
,,,,,,,
,,,,,,,
,,,Diagnosis (Encounter),OPIOID OD,Heat,firearms initial,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,,
Ohio,Less than 15 Years,2019,Jan,10 or fewer,10 or fewer,10 or fewer,35582
,,,Feb,10 or fewer,10 or fewer,10 or fewer,37296
,,,Mar,10 or fewer,10 or fewer,10 or fewer,45004
,,,Apr,10 or fewer,10 or fewer,10 or fewer,37790
,,,May,10 or fewer,10 or fewer,10 or fewer,38210
,,,Jun,10 or fewer,11,10 or fewer,31278
,,,Jul,10 or fewer,27,10 or fewer,32213
,,,Aug,10 or fewer,10 or fewer,10 or fewer,33036
,,,Sep,10 or fewer,10 or fewer,10 or fewer,38776
,,,Oct,10 or fewer,10 or fewer,10 or fewer,38851
,,,Nov,10 or fewer,10 or fewer,10 or fewer,39964
,,,Dec,10 or fewer,10 or fewer,10 or fewer,49295
,≥ 15 and < 25 Years,2019,Jan,33,10 or fewer,48,30357
,,,Feb,35,10 or fewer,34,28658
,,,Mar,46,10 or fewer,38,32412
,,,Apr,44,10 or fewer,45,31091
,,,May,59,11,61,31510
,,,Jun,61,43,58,29876
,,,Jul,50,78,73,31856
,,,Aug,69,28,63,31912
,,,Sep,42,16,70,34181
,,,Oct,40,10 or fewer,59,32227
,,,Nov,32,10 or fewer,54,30095
,,,Dec,32,10 or fewer,49,32721
,≥ 25 and < 45 Years,2019,Jan,302,10 or fewer,61,65831
,,,Feb,306,10 or fewer,46,60744
,,,Mar,376,10 or fewer,51,69812
,,,Apr,358,10 or fewer,61,65407
,,,May,385,27,76,68246
,,,Jun,449,52,83,66983
,,,Jul,437,203,80,71156
,,,Aug,384,48,91,69435
,,,Sep,341,37,76,69816
,,,Oct,359,10 or fewer,77,67034
,,,Nov,284,10 or fewer,70,62112
,,,Dec,322,10 or fewer,68,69678
,≥ 45 and < 65 Years,2019,Jan,77,10 or fewer,11,53320
,,,Feb,100,10 or fewer,18,50035
,,,Mar,135,10 or fewer,13,56905
,,,Apr,125,10 or fewer,27,53887
,,,May,146,24,21,56519
,,,Jun,144,38,20,55518
,,,Jul,142,146,15,57803
,,,Aug,157,38,28,56713
,,,Sep,132,33,26,56167
,,,Oct,137,12,26,54477
,,,Nov,91,10 or fewer,19,50830
,,,Dec,101,10 or fewer,28,55646
,65 Years or more,2019,Jan,10 or fewer,10 or fewer,10 or fewer,42537
,,,Feb,16,10 or fewer,10 or fewer,39695
,,,Mar,12,10 or fewer,10 or fewer,46381
,,,Apr,19,10 or fewer,10 or fewer,44627
,,,May,21,28,10 or fewer,47134
,,,Jun,23,41,10 or fewer,45195
,,,Jul,32,103,10 or fewer,46548
,,,Aug,20,38,10 or fewer,45796
,,,Sep,20,26,10 or fewer,45042
,,,Oct,26,10 or fewer,10 or fewer,45034
,,,Nov,10 or fewer,10 or fewer,10 or fewer,43256
,,,Dec,19,10 or fewer,10 or fewer,47946
,No value,2019,Jan,10 or fewer,10 or fewer,14,5263
,,,Feb,10 or fewer,10 or fewer,10 or fewer,4688
,,,Mar,10 or fewer,10 or fewer,10 or fewer,5138
,,,Apr,10 or fewer,10 or fewer,10 or fewer,5258
,,,May,10 or fewer,10 or fewer,10 or fewer,5261
,,,Jun,10 or fewer,10 or fewer,10 or fewer,5082
,,,Jul,10 or fewer,10 or fewer,10 or fewer,5161
,,,Aug,10 or fewer,10 or fewer,10 or fewer,5020
,,,Sep,10 or fewer,10 or fewer,10 or fewer,4769
,,,Oct,10 or fewer,10 or fewer,10 or fewer,5292
,,,Nov,10 or fewer,10 or fewer,10 or fewer,5007
,,,Dec,10 or fewer,10 or fewer,10 or fewer,5024
,"Total: Total includes all data under the Ohio bucket, including data from rows not currently displayed.",2019,Jan,419,10 or fewer,142,232869
,,,Feb,457,10 or fewer,106,221094
,,,Mar,572,10 or fewer,112,255618
,,,Apr,545,11,144,238029
,,,May,610,95,165,246853
,,,Jun,677,185,179,233908
,,,Jul,663,557,184,244695
,,,Aug,631,160,199,241881
,,,Sep,536,122,181,248726
,,,Oct,562,32,181,242885
,,,Nov,419,10 or fewer,156,231244
,,,Dec,476,10 or fewer,154,260276
Texas,Less than 15 Years,2019,Jan,10 or fewer,10 or fewer,10 or fewer,46386
,,,Feb,10 or fewer,10 or fewer,10 or fewer,52419
,,,Mar,10 or fewer,10 or fewer,10 or fewer,49701
,,,Apr,10 or fewer,10 or fewer,10 or fewer,45985
,,,May,10 or fewer,10 or fewer,10 or fewer,44506
,,,Jun,10 or fewer,22,10 or fewer,38275
,,,Jul,10 or fewer,27,10 or fewer,36092
,,,Aug,10 or fewer,49,10 or fewer,39132
,,,Sep,10 or fewer,42,10 or fewer,50538
,,,Oct,10 or fewer,10 or fewer,10 or fewer,54750
,,,Nov,10 or fewer,10 or fewer,10 or fewer,63914
,,,Dec,10 or fewer,10 or fewer,10 or fewer,64456
,≥ 15 and < 25 Years,2019,Jan,10 or fewer,10 or fewer,33,18807
,,,Feb,10 or fewer,10 or fewer,15,19442
,,,Mar,10 or fewer,10 or fewer,34,20704
,,,Apr,10 or fewer,10 or fewer,27,20310
,,,May,10 or fewer,18,34,20161
,,,Jun,10 or fewer,54,31,19484
,,,Jul,10 or fewer,76,25,20525
,,,Aug,10 or fewer,114,28,21496
,,,Sep,10 or fewer,60,43,26420
,,,Oct,12,15,53,25607
,,,Nov,13,10 or fewer,49,24769
,,,Dec,10 or fewer,10 or fewer,40,26691
,≥ 25 and < 45 Years,2019,Jan,19,10 or fewer,26,35269
,,,Feb,21,10 or fewer,19,35268
,,,Mar,19,10 or fewer,24,38795
,,,Apr,18,10 or fewer,29,37602
,,,May,20,31,38,39131
,,,Jun,25,126,40,39177
,,,Jul,23,192,44,42198
,,,Aug,10 or fewer,232,45,42790
,,,Sep,17,124,53,50837
,,,Oct,21,16,41,49285
,,,Nov,24,10 or fewer,58,47908
,,,Dec,23,10 or fewer,45,52799
,≥ 45 and < 65 Years,2019,Jan,14,10 or fewer,10 or fewer,30300
,,,Feb,17,10 or fewer,10 or fewer,29614
,,,Mar,18,10 or fewer,14,33232
,,,Apr,22,10 or fewer,14,32049
,,,May,20,23,17,32993
,,,Jun,10 or fewer,95,10 or fewer,33252
,,,Jul,13,162,10 or fewer,35087
,,,Aug,12,168,10 or fewer,35469
,,,Sep,14,90,16,41182
,,,Oct,18,17,10 or fewer,40664
,,,Nov,12,10 or fewer,18,39009
,,,Dec,17,10 or fewer,14,42170
,65 Years or more,2019,Jan,10 or fewer,10 or fewer,10 or fewer,24550
,,,Feb,10 or fewer,10 or fewer,10 or fewer,24058
,,,Mar,10 or fewer,10 or fewer,10 or fewer,27118
,,,Apr,10 or fewer,10 or fewer,10 or fewer,26029
,,,May,12,14,10 or fewer,26808
,,,Jun,13,59,10 or fewer,26695
,,,Jul,10 or fewer,77,10 or fewer,27818
,,,Aug,10 or fewer,94,10 or fewer,28623
,,,Sep,10 or fewer,54,10 or fewer,33208
,,,Oct,10 or fewer,13,10 or fewer,33963
,,,Nov,17,10 or fewer,10 or fewer,33812
,,,Dec,13,10 or fewer,10 or fewer,36973
,No value,2019,Jan,10 or fewer,10 or fewer,10 or fewer,4392
,,,Feb,10 or fewer,10 or fewer,10 or fewer,4668
,,,Mar,10 or fewer,10 or fewer,10 or fewer,4562
,,,Apr,10 or fewer,10 or fewer,10 or fewer,4773
,,,May,10 or fewer,10 or fewer,10 or fewer,4719
,,,Jun,10 or fewer,10 or fewer,10 or fewer,4489
,,,Jul,10 or fewer,10 or fewer,10 or fewer,4551
,,,Aug,10 or fewer,10 or fewer,10 or fewer,4564
,,,Sep,10 or fewer,10 or fewer,10 or fewer,5069
,,,Oct,10 or fewer,10 or fewer,10 or fewer,5977
,,,Nov,10 or fewer,10 or fewer,10 or fewer,5398
,,,Dec,10 or fewer,10 or fewer,10 or fewer,5937
,"Total: Total includes all data under the Texas bucket, including data from rows not currently displayed.",2019,Jan,46,10 or fewer,70,159687
,,,Feb,55,10 or fewer,51,165460
,,,Mar,52,13,84,174092
,,,Apr,54,37,76,166738
,,,May,59,96,101,168303
,,,Jun,56,356,97,161361
,,,Jul,54,535,89,166255
,,,Aug,32,658,97,172058
,,,Sep,41,370,131,207227
,,,Oct,59,68,113,210218
,,,Nov,66,10 or fewer,137,214792
,,,Dec,60,10 or fewer,111,229006
Pennsylvania,Less than 15 Years,2019,Jan,10 or fewer,10 or fewer,10 or fewer,20688
,,,Feb,10 or fewer,10 or fewer,10 or fewer,18162
,,,Mar,10 or fewer,10 or fewer,10 or fewer,22028
,,,Apr,10 or fewer,10 or fewer,10 or fewer,20253
,,,May,10 or fewer,10 or fewer,10 or fewer,19969
,,,Jun,10 or fewer,11,10 or fewer,16212
,,,Jul,10 or fewer,29,10 or fewer,15366
,,,Aug,10 or fewer,10 or fewer,10 or fewer,15711
,,,Sep,10 or fewer,10 or fewer,10 or fewer,19326
,,,Oct,10 or fewer,10 or fewer,10 or fewer,20282
,,,Nov,10 or fewer,10 or fewer,10 or fewer,20868
,,,Dec,10 or fewer,10 or fewer,10 or fewer,24340
,≥ 15 and < 25 Years,2019,Jan,19,10 or fewer,26,17077
,,,Feb,23,10 or fewer,28,15501
,,,Mar,22,10 or fewer,31,17616
,,,Apr,16,10 or fewer,34,17251
,,,May,28,10 or fewer,52,17597
,,,Jun,21,21,53,16052
,,,Jul,30,68,46,17336
,,,Aug,34,24,50,17185
,,,Sep,24,11,53,19070
,,,Oct,24,10 or fewer,48,19265
,,,Nov,28,10 or fewer,39,17726
,,,Dec,24,10 or fewer,47,18518
,≥ 25 and < 45 Years,2019,Jan,86,10 or fewer,48,36963
,,,Feb,100,10 or fewer,29,33669
,,,Mar,131,10 or fewer,48,37501
,,,Apr,150,10 or fewer,46,36191
,,,May,137,15,56,37542
,,,Jun,144,26,57,36929
,,,Jul,151,134,53,39175
,,,Aug,174,32,61,39499
,,,Sep,139,10 or fewer,54,39085
,,,Oct,176,10 or fewer,50,40257
,,,Nov,157,10 or fewer,44,37315
,,,Dec,148,10 or fewer,57,39923
,≥ 45 and < 65 Years,2019,Jan,33,10 or fewer,10 or fewer,32601
,,,Feb,33,10 or fewer,10 or fewer,30511
,,,Mar,51,10 or fewer,15,33550
,,,Apr,54,10 or fewer,10 or fewer,32410
,,,May,52,10 or fewer,13,33291
,,,Jun,60,26,10 or fewer,33045
,,,Jul,61,104,14,34459
,,,Aug,58,30,11,35061
,,,Sep,63,16,14,34056
,,,Oct,57,10 or fewer,14,35583
,,,Nov,47,10 or fewer,11,32965
,,,Dec,58,10 or fewer,13,35218
,65 Years or more,2019,Jan,13,10 or fewer,10 or fewer,31422
,,,Feb,10 or fewer,10 or fewer,10 or fewer,28975
,,,Mar,10 or fewer,10 or fewer,10 or fewer,32950
,,,Apr,10 or fewer,10 or fewer,10 or fewer,31254
,,,May,11,13,10 or fewer,32662
,,,Jun,16,33,10 or fewer,31559
,,,Jul,10 or fewer,76,10 or fewer,32052
,,,Aug,10 or fewer,16,14,32920
,,,Sep,10 or fewer,10 or fewer,10 or fewer,32211
,,,Oct,10 or fewer,10 or fewer,10 or fewer,34781
,,,Nov,14,10 or fewer,10 or fewer,33268
,,,Dec,12,10 or fewer,10 or fewer,36202
,No value,2019,Jan,10 or fewer,10 or fewer,10 or fewer,4196
,,,Feb,10 or fewer,10 or fewer,10 or fewer,4056
,,,Mar,10 or fewer,10 or fewer,10 or fewer,4105
,,,Apr,10 or fewer,10 or fewer,10 or fewer,4311
,,,May,10 or fewer,10 or fewer,10 or fewer,4059
,,,Jun,10 or fewer,10 or fewer,10 or fewer,3985
,,,Jul,10 or fewer,10 or fewer,10 or fewer,3972
,,,Aug,10 or fewer,10 or fewer,10 or fewer,3891
,,,Sep,10 or fewer,10 or fewer,10 or fewer,3886
,,,Oct,10 or fewer,10 or fewer,10 or fewer,4292
,,,Nov,10 or fewer,10 or fewer,10 or fewer,4250
,,,Dec,10 or fewer,10 or fewer,10 or fewer,4150
,"Total: Total includes all data under the Pennsylvania bucket, including data from rows not currently displayed.",2019,Jan,152,10 or fewer,90,142942
,,,Feb,164,10 or fewer,73,130866
,,,Mar,214,10 or fewer,99,147738
,,,Apr,225,10 or fewer,94,141656
,,,May,228,47,132,145109
,,,Jun,243,117,126,137764
,,,Jul,252,411,128,142347
,,,Aug,277,112,144,144250
,,,Sep,238,48,135,147621
,,,Oct,268,17,124,154447
,,,Nov,247,10 or fewer,103,146382
,,,Dec,248,10 or fewer,133,158336
North Carolina,Less than 15 Years,2019,Jan,10 or fewer,10 or fewer,10 or fewer,21086
,,,Feb,10 or fewer,10 or fewer,10 or fewer,24064
,,,Mar,10 or fewer,10 or fewer,10 or fewer,22909
,,,Apr,10 or fewer,10 or fewer,10 or fewer,20371
,,,May,10 or fewer,20,10 or fewer,23386
,,,Jun,10 or fewer,20,10 or fewer,19156
,,,Jul,10 or fewer,13,10 or fewer,17221
,,,Aug,10 or fewer,10 or fewer,10 or fewer,17432
,,,Sep,10 or fewer,12,10 or fewer,21886
,,,Oct,10 or fewer,10 or fewer,10 or fewer,22176
,,,Nov,10 or fewer,10 or fewer,10 or fewer,21745
,,,Dec,10 or fewer,10 or fewer,10 or fewer,27641
,≥ 15 and < 25 Years,2019,Jan,18,10 or fewer,29,16351
,,,Feb,13,10 or fewer,21,15836
,,,Mar,13,10 or fewer,22,16977
,,,Apr,13,10 or fewer,36,15989
,,,May,22,39,42,18412
,,,Jun,23,32,39,16716
,,,Jul,17,70,39,17176
,,,Aug,16,47,41,17459
,,,Sep,13,24,39,18955
,,,Oct,22,10 or fewer,33,18579
,,,Nov,25,10 or fewer,31,17163
,,,Dec,28,10 or fewer,33,18407
,≥ 25 and < 45 Years,2019,Jan,49,10 or fewer,40,35723
,,,Feb,67,10 or fewer,40,33359
,,,Mar,68,10 or fewer,33,35631
,,,Apr,80,10 or fewer,35,33808
,,,May,87,88,46,38762
,,,Jun,96,62,53,37667
,,,Jul,68,163,47,39340
,,,Aug,93,98,41,38722
,,,Sep,82,58,34,38449
,,,Oct,87,10 or fewer,49,38693
,,,Nov,85,10 or fewer,32,35291
,,,Dec,103,10 or fewer,57,39283
,≥ 45 and < 65 Years,2019,Jan,17,10 or fewer,10 or fewer,29559
,,,Feb,30,10 or fewer,11,28106
,,,Mar,25,10 or fewer,10 or fewer,30305
,,,Apr,32,10 or fewer,16,28983
,,,May,43,60,14,32799
,,,Jun,30,53,15,31746
,,,Jul,33,148,13,32814
,,,Aug,32,67,10 or fewer,32310
,,,Sep,41,40,12,32068
,,,Oct,30,10 or fewer,11,32032
,,,Nov,31,10 or fewer,10 or fewer,29121
,,,Dec,43,10 or fewer,23,32376
,65 Years or more,2019,Jan,11,10 or fewer,10 or fewer,26147
,,,Feb,10 or fewer,10 or fewer,10 or fewer,24596
,,,Mar,10 or fewer,10 or fewer,10 or fewer,26860
,,,Apr,10 or fewer,10 or fewer,10 or fewer,26090
,,,May,10 or fewer,56,10 or fewer,29043
,,,Jun,10 or fewer,42,10 or fewer,27453
,,,Jul,12,87,10 or fewer,28090
,,,Aug,10 or fewer,35,10 or fewer,27725
,,,Sep,10 or fewer,33,10 or fewer,27623
,,,Oct,10 or fewer,10 or fewer,10 or fewer,27824
,,,Nov,10 or fewer,10 or fewer,10 or fewer,26579
,,,Dec,11,10 or fewer,10 or fewer,29328
,No value,2019,Jan,10 or fewer,10 or fewer,10 or fewer,3260
,,,Feb,10 or fewer,10 or fewer,10 or fewer,3230
,,,Mar,10 or fewer,10 or fewer,10 or fewer,3324
,,,Apr,10 or fewer,10 or fewer,10 or fewer,3349
,,,May,10 or fewer,10 or fewer,10 or fewer,3314
,,,Jun,10 or fewer,10 or fewer,10 or fewer,3436
,,,Jul,10 or fewer,10 or fewer,10 or fewer,3457
,,,Aug,10 or fewer,10 or fewer,10 or fewer,3401
,,,Sep,10 or fewer,10 or fewer,10 or fewer,3272
,,,Oct,10 or fewer,10 or fewer,10 or fewer,3582
,,,Nov,10 or fewer,10 or fewer,10 or fewer,3349
,,,Dec,10 or fewer,10 or fewer,10 or fewer,3359
,"Total: Total includes all data under the North Carolina bucket, including data from rows not currently displayed.",2019,Jan,95,10 or fewer,85,132109
,,,Feb,117,10 or fewer,78,129173
,,,Mar,111,10 or fewer,71,135990
,,,Apr,131,29,95,128575
,,,May,162,263,110,145701
,,,Jun,160,210,110,136162
,,,Jul,131,481,115,138081
,,,Aug,149,255,99,137036
,,,Sep,145,167,98,142235
,,,Oct,148,35,101,142866
,,,Nov,151,10 or fewer,81,133234
,,,Dec,185,10 or fewer,126,150378
Virginia,Less than 15 Years,2019,Jan,10 or fewer,10 or fewer,10 or fewer,19066
,,,Feb,10 or fewer,10 or fewer,10 or fewer,20677
,,,Mar,10 or fewer,10 or fewer,10 or fewer,22665
,,,Apr,10 or fewer,10 or fewer,10 or fewer,19349
,,,May,10 or fewer,10 or fewer,10 or fewer,19806
,,,Jun,10 or fewer,12,10 or fewer,16639
,,,Jul,10 or fewer,21,10 or fewer,14905
,,,Aug,10 or fewer,10 or fewer,10 or fewer,14297
,,,Sep,10 or fewer,10 or fewer,10 or fewer,18015
,,,Oct,10 or fewer,10 or fewer,10 or fewer,18056
,,,Nov,10 or fewer,10 or fewer,10 or fewer,18711
,,,Dec,10 or fewer,10 or fewer,10 or fewer,24299
,≥ 15 and < 25 Years,2019,Jan,11,10 or fewer,18,15279
,,,Feb,10 or fewer,10 or fewer,13,14447
,,,Mar,11,10 or fewer,15,15901
,,,Apr,11,10 or fewer,19,15075
,,,May,15,25,22,15421
,,,Jun,10 or fewer,16,25,14348
,,,Jul,10 or fewer,67,28,14872
,,,Aug,10 or fewer,33,25,14667
,,,Sep,12,14,18,15593
,,,Oct,15,10 or fewer,21,15754
,,,Nov,18,10 or fewer,13,14533
,,,Dec,10 or fewer,10 or fewer,17,15635
,≥ 25 and < 45 Years,2019,Jan,45,10 or fewer,23,35394
,,,Feb,38,10 or fewer,20,33463
,,,Mar,47,10 or fewer,18,35843
,,,Apr,55,10 or fewer,35,34134
,,,May,61,48,33,35836
,,,Jun,69,60,29,34516
,,,Jul,50,159,31,36009
,,,Aug,57,65,29,34496
,,,Sep,54,28,22,34488
,,,Oct,48,13,17,34575
,,,Nov,48,10 or fewer,20,32596
,,,Dec,59,10 or fewer,24,35935
,≥ 45 and < 65 Years,2019,Jan,21,10 or fewer,10 or fewer,29813
,,,Feb,16,10 or fewer,10 or fewer,28344
,,,Mar,20,10 or fewer,10 or fewer,31000
,,,Apr,34,10 or fewer,10 or fewer,29019
,,,May,35,50,11,30301
,,,Jun,40,50,10 or fewer,29457
,,,Jul,25,145,10 or fewer,30200
,,,Aug,38,55,10 or fewer,29425
,,,Sep,40,24,10 or fewer,29224
,,,Oct,38,10 or fewer,10 or fewer,29142
,,,Nov,36,10 or fewer,10 or fewer,27455
,,,Dec,34,10 or fewer,10 or fewer,29421
,65 Years or more,2019,Jan,10 or fewer,10 or fewer,10 or fewer,26731
,,,Feb,10 or fewer,10 or fewer,10 or fewer,24835
,,,Mar,10 or fewer,10 or fewer,10 or fewer,28649
,,,Apr,10 or fewer,10 or fewer,10 or fewer,26746
,,,May,10 or fewer,27,10 or fewer,28099
,,,Jun,15,46,10 or fewer,27165
,,,Jul,10 or fewer,76,10 or fewer,27360
,,,Aug,14,40,10 or fewer,27119
,,,Sep,12,26,10 or fewer,26516
,,,Oct,10 or fewer,10 or fewer,10 or fewer,27161
,,,Nov,10 or fewer,10 or fewer,10 or fewer,26121
,,,Dec,10 or fewer,10 or fewer,10 or fewer,28608
,No value,2019,Jan,10 or fewer,10 or fewer,10 or fewer,2982
,,,Feb,10 or fewer,10 or fewer,10 or fewer,2821
,,,Mar,10 or fewer,10 or fewer,10 or fewer,3005
,,,Apr,10 or fewer,10 or fewer,10 or fewer,3053
,,,May,10 or fewer,10 or fewer,10 or fewer,2872
,,,Jun,10 or fewer,10 or fewer,10 or fewer,2739
,,,Jul,10 or fewer,10 or fewer,10 or fewer,2847
,,,Aug,10 or fewer,10 or fewer,10 or fewer,2680
,,,Sep,10 or fewer,10 or fewer,10 or fewer,2554
,,,Oct,10 or fewer,10 or fewer,10 or fewer,2846
,,,Nov,10 or fewer,10 or fewer,10 or fewer,2678
,,,Dec,10 or fewer,10 or fewer,10 or fewer,2736
,"Total: Total includes all data under the Virginia bucket, including data from rows not currently displayed.",2019,Jan,85,10 or fewer,53,129251
,,,Feb,68,10 or fewer,44,124573
,,,Mar,85,10 or fewer,40,137040
,,,Apr,110,27,64,127372
,,,May,123,161,72,132320
,,,Jun,136,184,70,124848
,,,Jul,91,470,70,126176
,,,Aug,118,203,67,122663
,,,Sep,118,100,53,126380
,,,Oct,112,25,49,127512
,,,Nov,111,10 or fewer,49,122079
,,,Dec,99,10 or fewer,54,136623
New York,Less than 15 Years,2019,Jan,10 or fewer,10 or fewer,10 or fewer,15322
,,,Feb,10 or fewer,10 or fewer,10 or fewer,14372
,,,Mar,10 or fewer,10 or fewer,10 or fewer,16205
,,,Apr,10 or fewer,10 or fewer,10 or fewer,14978
,,,May,10 or fewer,10 or fewer,10 or fewer,15274
,,,Jun,10 or fewer,10 or fewer,10 or fewer,14349
,,,Jul,10 or fewer,15,10 or fewer,14084
,,,Aug,10 or fewer,10 or fewer,10 or fewer,12717
,,,Sep,10 or fewer,10 or fewer,10 or fewer,14223
,,,Oct,10 or fewer,10 or fewer,10 or fewer,14929
,,,Nov,10 or fewer,10 or fewer,10 or fewer,16549
,,,Dec,10 or fewer,10 or fewer,10 or fewer,20457
,≥ 15 and < 25 Years,2019,Jan,10 or fewer,10 or fewer,10 or fewer,11709
,,,Feb,10 or fewer,10 or fewer,10 or fewer,11442
,,,Mar,10 or fewer,10 or fewer,10 or fewer,12851
,,,Apr,10 or fewer,10 or fewer,12,12567
,,,May,13,10 or fewer,12,12673
,,,Jun,10 or fewer,10 or fewer,14,11917
,,,Jul,21,31,10 or fewer,13267
,,,Aug,10 or fewer,10 or fewer,14,12810
,,,Sep,15,10 or fewer,10 or fewer,13787
,,,Oct,13,10 or fewer,16,13946
,,,Nov,10 or fewer,10 or fewer,12,12989
,,,Dec,10 or fewer,10 or fewer,10 or fewer,13354
,≥ 25 and < 45 Years,2019,Jan,62,10 or fewer,16,25148
,,,Feb,36,10 or fewer,10 or fewer,23503
,,,Mar,60,10 or fewer,14,25946
,,,Apr,56,10 or fewer,24,24973
,,,May,61,10 or fewer,24,26018
,,,Jun,71,10 or fewer,34,25972
,,,Jul,91,52,31,28810
,,,Aug,66,16,25,27744
,,,Sep,78,10 or fewer,24,26965
,,,Oct,64,10 or fewer,18,27563
,,,Nov,54,10 or fewer,21,26007
,,,Dec,62,10 or fewer,10 or fewer,28306
,≥ 45 and < 65 Years,2019,Jan,21,10 or fewer,10 or fewer,22270
,,,Feb,35,10 or fewer,10 or fewer,21307
,,,Mar,21,10 or fewer,10 or fewer,23230
,,,Apr,27,10 or fewer,10 or fewer,22651
,,,May,39,10 or fewer,10 or fewer,23465
,,,Jun,34,10 or fewer,10 or fewer,23429
,,,Jul,38,68,10 or fewer,25825
,,,Aug,41,17,10 or fewer,25005
,,,Sep,30,10 or fewer,10 or fewer,24229
,,,Oct,37,10 or fewer,10 or fewer,25326
,,,Nov,25,10 or fewer,10 or fewer,23515
,,,Dec,28,10 or fewer,10 or fewer,25143
,65 Years or more,2019,Jan,10 or fewer,10 or fewer,10 or fewer,20438
,,,Feb,10 or fewer,10 or fewer,10 or fewer,19558
,,,Mar,10 or fewer,10 or fewer,10 or fewer,21698
,,,Apr,10 or fewer,10 or fewer,10 or fewer,21354
,,,May,10 or fewer,10 or fewer,10 or fewer,22268
,,,Jun,10 or fewer,15,10 or fewer,21584
,,,Jul,10 or fewer,62,10 or fewer,23747
,,,Aug,10 or fewer,14,10 or fewer,23193
,,,Sep,10 or fewer,10 or fewer,10 or fewer,22663
,,,Oct,10 or fewer,10 or fewer,10 or fewer,24435
,,,Nov,10 or fewer,10 or fewer,10 or fewer,23233
,,,Dec,10 or fewer,10 or fewer,10 or fewer,24823
