Session Title,"Opioid OD Heat Firearms in ED, State Month Age",,,,,,
Session ID,2776112,,,,,,
Data Model,Patients,,,,,,
Population Base,All Patients,,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,,
Session Date Range,1/1/2020 - 12/31/2020,,,,,,
Measure,Number of Patients,,,,,,
Export User,Stephanie Perniciaro,,,,,,
Date of Export,11/13/2025,,,,,,
,,,,,,,
,,,,,,,
,,,Diagnosis (Encounter),OPIOID OD,Heat,firearms initial,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,,
Ohio,Less than 15 Years,2020,Jan,10 or fewer,10 or fewer,10 or fewer,44731
,,,Feb,10 or fewer,10 or fewer,10 or fewer,41370
,,,Mar,10 or fewer,10 or fewer,10 or fewer,29478
,,,Apr,10 or fewer,10 or fewer,10 or fewer,10726
,,,May,10 or fewer,10 or fewer,10 or fewer,14923
,,,Jun,10 or fewer,10 or fewer,10 or fewer,19160
,,,Jul,10 or fewer,10 or fewer,12,21497
,,,Aug,10 or fewer,10 or fewer,10 or fewer,21379
,,,Sep,10 or fewer,10 or fewer,10 or fewer,22637
,,,Oct,10 or fewer,10 or fewer,10 or fewer,23173
,,,Nov,10 or fewer,10 or fewer,10 or fewer,21258
,,,Dec,10 or fewer,10 or fewer,10 or fewer,17960
,≥ 15 and < 25 Years,2020,Jan,41,10 or fewer,50,33892
,,,Feb,40,10 or fewer,31,30389
,,,Mar,38,10 or fewer,49,26220
,,,Apr,35,10 or fewer,74,15539
,,,May,45,11,77,20730
,,,Jun,58,43,107,25405
,,,Jul,54,57,107,28742
,,,Aug,45,24,105,27116
,,,Sep,53,10 or fewer,76,27258
,,,Oct,40,10 or fewer,80,28036
,,,Nov,42,10 or fewer,80,27187
,,,Dec,41,10 or fewer,73,24506
,≥ 25 and < 45 Years,2020,Jan,286,10 or fewer,89,71914
,,,Feb,285,10 or fewer,65,65247
,,,Mar,280,10 or fewer,88,60038
,,,Apr,309,10 or fewer,83,38708
,,,May,437,29,107,48403
,,,Jun,451,66,144,56769
,,,Jul,390,121,143,63807
,,,Aug,378,29,134,60899
,,,Sep,282,12,117,57513
,,,Oct,280,10 or fewer,111,60320
,,,Nov,287,10 or fewer,102,60785
,,,Dec,288,10 or fewer,99,57736
,≥ 45 and < 65 Years,2020,Jan,89,10 or fewer,22,56603
,,,Feb,97,10 or fewer,17,52525
,,,Mar,102,10 or fewer,30,47465
,,,Apr,101,10 or fewer,25,33056
,,,May,180,17,18,41123
,,,Jun,173,45,26,47292
,,,Jul,163,120,36,51275
,,,Aug,133,37,22,49961
,,,Sep,130,11,32,47635
,,,Oct,96,10 or fewer,32,49653
,,,Nov,117,10 or fewer,19,50763
,,,Dec,123,10 or fewer,29,49536
,65 Years or more,2020,Jan,25,10 or fewer,10 or fewer,46243
,,,Feb,14,10 or fewer,10 or fewer,42786
,,,Mar,15,10 or fewer,10 or fewer,36507
,,,Apr,16,10 or fewer,11,27102
,,,May,22,22,10 or fewer,34501
,,,Jun,19,32,10 or fewer,38926
,,,Jul,17,82,10 or fewer,40752
,,,Aug,16,21,10 or fewer,41210
,,,Sep,20,13,10 or fewer,40936
,,,Oct,26,10 or fewer,10 or fewer,42439
,,,Nov,26,10 or fewer,10 or fewer,43610
,,,Dec,21,10 or fewer,10 or fewer,44914
