Session Title,DM in ICD10  by State Age 2021,,,
Session ID,2775698,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Has Any Encounters?,Base Patient,,
Session Date Range,1/1/2021 - 12/31/2021,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,State of Residence (U.S.),,,
Less than 18 Years,Marshall Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,Virgin Islands,-,-,114
,West Virginia,0.81%,1.05%,113208
,Indiana,0.25%,0.41%,452375
,Ohio,0.37%,0.50%,1066052
,South Carolina,0.62%,0.77%,415335
,Kentucky,0.58%,0.75%,397845
,Oklahoma,0.23%,0.44%,123538
,Missouri,0.21%,0.41%,77210
,Mississippi,0.58%,0.72%,254339
,Delaware,0.60%,0.68%,110914
,North Carolina,0.46%,0.65%,834841
,Kansas,0.42%,0.57%,87671
,Michigan,0.44%,0.57%,682760
,Virginia,0.46%,0.72%,446032
,Guam,-,-,41
,Puerto Rico,-,-,365
,Alabama,0.42%,0.71%,43745
,Illinois,0.47%,0.64%,953024
,Wyoming,0.49%,0.67%,23473
,Maine,0.53%,0.60%,102746
,Rhode Island,0.64%,0.76%,80262
,Nebraska,0.23%,0.48%,73064
,Minnesota,0.35%,0.50%,432933
,Idaho,0.63%,0.72%,130602
,Louisiana,0.42%,0.52%,321853
,Maryland,0.52%,0.72%,175366
,New York,0.38%,0.51%,693243
,Wisconsin,0.43%,0.55%,644753
,Georgia,0.48%,0.89%,565858
,Pennsylvania,0.23%,0.42%,848627
,New Mexico,0.14%,0.40%,13727
,Tennessee,0.49%,0.83%,128138
,Arkansas,0.73%,0.90%,200612
,New Hampshire,0.70%,0.80%,83203
,Arizona,0.44%,0.63%,86357
,Iowa,0.56%,0.64%,314771
,Massachusetts,0.33%,0.50%,327097
,New Jersey,0.38%,0.62%,206927
,North Dakota,0.34%,0.48%,115264
,South Dakota,0.40%,0.53%,88231
,Alaska,-,-,2089
,Hawaii,0.35%,0.41%,102822
,Washington,0.31%,0.44%,181130
,Montana,0.37%,0.50%,35588
,Texas,0.47%,0.63%,2232010
,Vermont,0.70%,0.80%,46513
,Oregon,0.52%,0.66%,362909
,Connecticut,0.51%,0.66%,391905
,Florida,0.70%,0.97%,742921
,Colorado,0.38%,0.57%,492389
,Utah,0.09%,0.44%,114421
,California,0.33%,0.61%,1111694
,Nevada,0.39%,0.60%,109658
,Armed Forces Pacific,-,-,116
,Armed Forces Africa,-,-,162
,District of Columbia,-,-,2326
,None of the above,0.41%,0.71%,215984
,Total,0.44%,0.62%,17861170
≥ 18 and < 25 Years,Marshall Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,Virgin Islands,-,-,64
,West Virginia,1.70%,2.45%,50314
,Indiana,1.20%,1.85%,178498
,Ohio,1.13%,1.82%,547889
,South Carolina,1.50%,2.21%,156314
,Kentucky,1.38%,2.06%,169106
,Oklahoma,0.90%,1.78%,52017
,Missouri,1.13%,1.94%,48690
,Mississippi,1.36%,2.10%,101884
,Delaware,1.64%,2.18%,25492
,North Carolina,1.13%,1.81%,368252
,Kansas,1.23%,2.07%,45216
,Michigan,1.11%,1.67%,315553
,Virginia,1.07%,1.86%,242470
,Guam,-,-,27
,Puerto Rico,-,-,269
,Alabama,1.21%,2.48%,23130
,Illinois,1.16%,1.76%,374731
,Wyoming,1.28%,1.85%,8455
,Maine,1.44%,1.88%,42269
,Rhode Island,1.21%,1.86%,37404
,Nebraska,1.36%,1.93%,49356
,Minnesota,1.06%,1.51%,182793
,Idaho,1.47%,1.98%,49672
,Louisiana,0.93%,1.57%,136807
,Maryland,0.91%,1.56%,119201
,New York,0.99%,1.57%,355861
,Wisconsin,1.12%,1.54%,236804
,Georgia,1.09%,2.21%,160188
,Pennsylvania,0.78%,1.46%,470468
,New Mexico,0.96%,1.96%,11943
,Tennessee,1.12%,2.18%,66502
,Arkansas,1.57%,2.50%,65389
,New Hampshire,1.59%,2.00%,33521
,Arizona,0.82%,1.43%,54684
,Iowa,1.29%,1.74%,124506
,Massachusetts,0.82%,1.32%,187588
,New Jersey,0.77%,1.41%,130811
,North Dakota,0.98%,1.44%,45400
,South Dakota,1.06%,1.34%,33759
,Alaska,-,-,962
,Hawaii,0.71%,1.13%,41020
,Washington,0.87%,1.37%,89287
,Montana,0.86%,1.19%,21088
,Texas,1.06%,1.86%,676412
,Vermont,1.22%,1.69%,21939
,Oregon,0.91%,1.37%,165566
,Connecticut,1.04%,1.69%,182629
,Florida,1.21%,2.25%,258132
,Colorado,0.91%,1.51%,189748
,Utah,0.96%,1.69%,54078
,California,0.73%,1.48%,461122
,Nevada,0.53%,1.05%,71497
,Armed Forces Pacific,-,-,24
,Armed Forces Africa,-,-,52
,District of Columbia,0.45%,0.80%,9732
,None of the above,0.83%,1.49%,135694
,Total,1.05%,1.73%,7682286
≥ 25 and < 35 Years,Marshall Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,Virgin Islands,-,-,112
,West Virginia,2.49%,4.10%,70922
,Indiana,2.30%,3.63%,268435
,Ohio,2.15%,3.51%,824431
,South Carolina,2.29%,3.65%,238655
,Kentucky,2.16%,3.45%,253579
,Oklahoma,2.07%,3.64%,80585
,Missouri,2.19%,3.66%,78448
,Mississippi,2.24%,3.68%,148671
,Delaware,2.12%,3.45%,31088
,North Carolina,2.04%,3.35%,570076
,Kansas,2.19%,3.60%,69849
,Michigan,1.87%,2.91%,472910
,Virginia,1.86%,3.23%,399161
,Guam,-,-,47
,Puerto Rico,-,3.85%,390
,Alabama,1.82%,4.07%,38187
,Illinois,1.97%,3.10%,548374
,Wyoming,2.08%,3.40%,12105
,Maine,1.81%,2.67%,68595
,Rhode Island,1.60%,3.11%,56582
,Nebraska,2.30%,3.60%,68142
,Minnesota,1.80%,2.72%,290300
,Idaho,2.04%,2.98%,75915
,Louisiana,1.61%,3.06%,204287
,Maryland,1.52%,2.88%,209422
,New York,1.54%,2.70%,569109
,Wisconsin,1.80%,2.62%,338301
,Georgia,1.88%,3.37%,211929
,Pennsylvania,1.37%,2.65%,774047
,New Mexico,1.88%,3.94%,22742
,Tennessee,1.62%,3.43%,101824
,Arkansas,1.98%,3.93%,96154
,New Hampshire,1.78%,2.77%,49304
,Arizona,1.62%,2.75%,99388
,Iowa,1.84%,2.97%,170203
,Massachusetts,1.25%,2.30%,302438
,New Jersey,1.31%,2.48%,216598
,North Dakota,1.73%,2.61%,69000
,South Dakota,1.68%,2.29%,47276
,Alaska,1.06%,2.25%,1420
,Hawaii,1.38%,2.55%,66823
,Washington,1.45%,2.41%,157397
,Montana,1.55%,2.03%,28715
,Texas,1.54%,3.39%,1015420
,Vermont,1.37%,2.43%,36865
,Oregon,1.24%,2.17%,280353
,Connecticut,1.25%,2.83%,266949
,Florida,1.35%,3.19%,376377
,Colorado,1.22%,2.19%,315763
,Utah,1.65%,2.83%,84088
,California,1.15%,2.57%,766415
,Nevada,0.78%,1.82%,122314
,Armed Forces Pacific,-,-,68
,Armed Forces Africa,-,-,128
,District of Columbia,0.45%,1.05%,20173
,None of the above,1.14%,2.26%,231586
,Total,1.67%,2.98%,11918447
≥ 35 and < 45 Years,Marshall Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,15
,Northern Mariana Islands,-,-,10 or fewer
,Virgin Islands,5.37%,6.61%,242
,West Virginia,5.80%,9.05%,76568
,Indiana,5.77%,8.41%,279273
,Ohio,5.17%,7.87%,841697
