Session Title,OBESITY by ICD and BMI State Age 2020,,,
Session ID,2776061,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Has Any Encounters?,Base Patient,,
Session Date Range,1/1/2020 - 12/31/2020,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),DM (%),Number of Patients
Age at Encounter in Years,State of Residence (U.S.),,,
Less than 18 Years,"American Samoa, South Pacific",-,-,10 or fewer
,Marshall Islands,-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,Alabama,6.77%,3.14%,24669
,West Virginia,8.17%,4.88%,99682
,Kentucky,7.42%,4.15%,313220
,Missouri,7.28%,2.64%,66620
,Ohio,6.19%,6.12%,949651
,Indiana,6.39%,4.68%,395894
,Oklahoma,6.17%,3.15%,113530
,Mississippi,7.73%,3.12%,219020
,Nebraska,5.92%,1.83%,63568
,Kansas,7.07%,7.29%,78623
,Tennessee,6.95%,3.24%,100803
,Louisiana,6.47%,4.65%,274941
,North Carolina,5.58%,5.20%,715595
,Pennsylvania,5.86%,6.15%,694807
,Virginia,5.62%,3.54%,379368
,Arkansas,7.04%,4.77%,169269
,South Carolina,6.94%,8.47%,333102
,Maryland,5.30%,4.45%,138386
,Iowa,5.81%,4.00%,289855
,New Jersey,5.80%,4.33%,138981
,New Mexico,5.05%,2.34%,13774
,Michigan,5.55%,3.52%,607268
,Illinois,5.80%,5.79%,860136
,North Dakota,4.70%,3.61%,108491
,Wisconsin,5.07%,3.52%,607844
,Minnesota,4.60%,5.31%,388694
,Wyoming,3.67%,2.72%,20886
,Arizona,4.51%,4.39%,59310
,Delaware,6.87%,9.50%,100842
,Maine,6.17%,4.33%,88659
,Connecticut,6.00%,8.66%,323272
,Texas,5.50%,5.24%,1833257
,New Hampshire,5.72%,4.39%,79255
,Georgia,5.14%,4.53%,496618
,Guam,-,-,32
,Idaho,4.80%,3.67%,119595
,New York,5.40%,7.82%,598858
,Puerto Rico,4.21%,6.32%,285
,Massachusetts,5.56%,11.53%,290267
,South Dakota,4.32%,2.75%,80993
,Florida,5.38%,4.50%,550891
,Alaska,2.99%,3.15%,1904
,Oregon,5.51%,5.86%,307214
,Vermont,4.82%,3.40%,39784
,Washington,4.73%,3.44%,163711
,Armed Forces Pacific,-,-,82
,Armed Forces Africa,-,-,132
,Montana,3.48%,2.40%,31477
,Armed Forces America,-,-,18
,Virgin Islands,-,-,62
,California,5.27%,7.70%,861561
,Rhode Island,4.38%,6.90%,73648
,Nevada,4.57%,4.54%,98967
,Hawaii,4.25%,3.24%,64874
,Utah,3.01%,2.70%,104352
,Colorado,3.88%,4.46%,406283
,None of the above,4.61%,4.34%,192031
,Total,5.63%,5.37%,15134927
≥ 18 and < 25 Years,"American Samoa, South Pacific",-,-,10 or fewer
,Marshall Islands,-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,Alabama,28.04%,11.47%,13141
,West Virginia,32.80%,12.06%,43826
,Kentucky,32.26%,11.58%,133321
,Missouri,27.83%,9.56%,41872
,Ohio,28.48%,12.33%,475737
,Indiana,30.66%,10.04%,157986
,Oklahoma,30.72%,8.08%,47865
,Mississippi,32.55%,7.90%,86346
,Nebraska,24.70%,5.95%,43257
,Kansas,26.18%,9.35%,39392
,Tennessee,30.77%,7.60%,55165
,Louisiana,27.80%,9.31%,110842
,North Carolina,26.33%,10.81%,313620
,Pennsylvania,24.73%,10.16%,375172
,Virginia,24.79%,8.40%,204985
,Arkansas,32.17%,11.38%,55693
,South Carolina,28.16%,11.26%,124809
,Maryland,21.32%,10.11%,96173
,Iowa,26.65%,9.95%,112775
,New Jersey,21.52%,7.56%,91570
,New Mexico,28.35%,10.50%,10690
,Michigan,24.65%,9.42%,281742
,Illinois,24.82%,9.54%,319533
,North Dakota,24.70%,11.51%,42464
,Wisconsin,23.68%,7.77%,211662
,Minnesota,22.38%,10.12%,159662
,Wyoming,22.51%,6.25%,6754
,Arizona,21.75%,8.05%,40692
,Delaware,30.32%,13.70%,21286
,Maine,23.90%,10.20%,35158
,Connecticut,20.91%,12.21%,146811
,Texas,27.31%,12.89%,477562
,New Hampshire,21.81%,8.23%,31558
,Georgia,24.82%,8.77%,143555
,Guam,-,-,24
,Idaho,22.63%,7.98%,44027
,New York,20.81%,9.90%,284482
,Puerto Rico,17.65%,10.70%,187
,Massachusetts,19.30%,12.59%,157066
,South Dakota,21.29%,8.30%,30007
,Florida,21.92%,9.67%,183130
,Alaska,18.05%,5.98%,820
,Oregon,22.28%,9.35%,120349
,Vermont,17.40%,7.73%,18591
,Washington,20.52%,6.35%,79117
,Armed Forces Pacific,-,-,22
,Armed Forces Africa,-,-,40
,Montana,14.95%,4.76%,17032
,Armed Forces America,-,-,10 or fewer
,Virgin Islands,-,-,50
,California,20.03%,8.04%,346358
,Rhode Island,14.73%,8.89%,34280
,Nevada,16.45%,4.37%,70717
,Hawaii,20.59%,8.25%,24861
,Utah,17.29%,5.21%,42126
,Colorado,18.18%,7.13%,144576
,None of the above,19.07%,7.30%,119799
,Total,24.52%,9.85%,6270348
≥ 25 and < 35 Years,"American Samoa, South Pacific",-,-,10 or fewer
,Marshall Islands,-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,Alabama,40.13%,19.89%,21728
,West Virginia,44.55%,19.07%,61864
,Kentucky,44.83%,18.58%,204302
,Missouri,40.48%,16.60%,67649
,Ohio,41.60%,20.13%,735170
,Indiana,43.34%,16.98%,240001
,Oklahoma,42.41%,13.60%,73602
,Mississippi,43.79%,12.96%,127885
,Nebraska,39.67%,12.71%,60789
,Kansas,38.50%,15.73%,60390
,Tennessee,41.52%,12.17%,85292
,Louisiana,39.84%,15.63%,168258
,North Carolina,38.91%,18.15%,492912
,Pennsylvania,36.36%,16.79%,616423
,Virginia,38.06%,14.82%,344425
,Arkansas,44.05%,17.98%,82049
,South Carolina,40.10%,17.70%,190166
,Maryland,35.01%,18.77%,158327
,Iowa,40.51%,18.17%,156769
,New Jersey,33.32%,13.02%,159796
,New Mexico,38.66%,15.54%,19856
,Michigan,36.54%,16.38%,423207
,Illinois,36.85%,15.45%,471647
,North Dakota,37.14%,20.32%,66362
,Wisconsin,36.70%,14.45%,308962
,Minnesota,34.61%,16.75%,253592
,Wyoming,34.86%,11.09%,10193
,Arizona,31.97%,13.52%,73467
,Delaware,43.77%,18.91%,25802
,Maine,32.97%,15.37%,57217
,Connecticut,32.49%,16.01%,222413
,Texas,38.28%,19.43%,730858
,New Hampshire,32.90%,13.55%,47139
,Georgia,38.25%,14.87%,191827
,Guam,-,-,28
,Idaho,33.96%,13.33%,66630
,New York,30.83%,14.73%,459805
,Puerto Rico,27.36%,14.01%,307
,Massachusetts,28.91%,17.87%,256452
,South Dakota,32.76%,15.37%,41720
,Florida,34.19%,15.94%,261234
,Alaska,31.98%,13.02%,1329
,Oregon,29.94%,13.31%,197127
,Vermont,26.33%,12.81%,31989
,Washington,28.85%,10.18%,138756
,Armed Forces Pacific,31.94%,-,72
,Armed Forces Africa,28.69%,11.48%,122
,Montana,25.20%,9.94%,23646
,Armed Forces America,-,-,10 or fewer
,Virgin Islands,21.59%,19.32%,88
,California,27.73%,11.03%,580230
,Rhode Island,23.12%,13.86%,51621
,Nevada,23.73%,7.73%,118664
,Hawaii,29.77%,13.95%,45297
,Utah,27.77%,9.89%,63906
,Colorado,25.88%,10.24%,232728
,None of the above,27.51%,11.05%,194195
,Total,35.75%,15.80%,9776308
≥ 35 and < 45 Years,"American Samoa, South Pacific",65.22%,-,23
,Marshall Islands,-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,Alabama,48.56%,26.25%,27360
,West Virginia,50.49%,23.99%,66984
,Kentucky,50.19%,23.17%,220984
,Missouri,47.45%,21.10%,72279
,Ohio,47.46%,25.15%,750071
,Indiana,49.00%,22.07%,248934
,Oklahoma,48.10%,19.13%,78739
,Mississippi,49.89%,17.15%,140505
,Nebraska,44.59%,16.57%,60142
,Kansas,44.12%,20.62%,66554
,Tennessee,47.13%,16.40%,86528
,Louisiana,47.17%,22.27%,181531
,North Carolina,44.65%,23.29%,509692
,Pennsylvania,42.26%,20.45%,607853
,Virginia,43.00%,18.81%,386444
,Arkansas,48.79%,22.45%,85590
,South Carolina,46.19%,22.69%,194349
,Maryland,42.42%,24.00%,153928
,Iowa,46.20%,23.16%,157213
,New Jersey,39.05%,16.44%,171865
,New Mexico,43.03%,17.69%,18884
,Michigan,41.91%,21.12%,404695
,Illinois,43.36%,19.63%,482349
,North Dakota,43.56%,27.71%,61679
,Wisconsin,43.10%,18.57%,310077
,Minnesota,41.05%,22.45%,256664
,Wyoming,40.81%,15.66%,11437
,Arizona,37.71%,18.00%,76149
,Delaware,48.81%,21.17%,26111
,Maine,39.07%,20.05%,59704
,Connecticut,38.65%,19.91%,228963
,Texas,43.51%,24.08%,791383
,New Hampshire,39.13%,15.93%,48442
,Georgia,44.61%,21.00%,199150
,Guam,33.33%,-,36
,Idaho,37.78%,16.73%,72059
,New York,36.68%,18.18%,453912
,Puerto Rico,31.69%,15.99%,344
,Massachusetts,35.78%,23.79%,245036
,South Dakota,37.79%,20.83%,42463
,Florida,39.09%,20.49%,271437
,Alaska,39.11%,18.40%,1212
,Oregon,34.91%,16.16%,192645
,Vermont,30.71%,15.17%,35532
,Washington,33.78%,12.68%,134319
,Armed Forces Pacific,30.95%,12.70%,126
,Armed Forces Africa,30.09%,13.72%,226
,Montana,30.21%,12.88%,23155
,Armed Forces America,-,-,29
,Virgin Islands,27.47%,28.57%,182
,California,32.49%,14.06%,565939
,Rhode Island,29.16%,18.51%,49773
,Nevada,27.51%,11.01%,102791
,Hawaii,31.55%,15.39%,51439
,Utah,33.57%,12.34%,62732
,Colorado,31.48%,13.92%,215444
,None of the above,35.18%,15.83%,150903
