Session Title,DM in ICD10  by State Age 2022,,,
Session ID,2775697,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Has Any Encounters?,Base Patient,,
Session Date Range,1/1/2022 - 12/31/2022,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,State of Residence (U.S.),,,
Less than 18 Years,Marshall Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,17
,Northern Mariana Islands,-,-,10 or fewer
,Virgin Islands,-,-,106
,West Virginia,0.55%,0.74%,126206
,Kentucky,0.59%,0.75%,440658
,Ohio,0.36%,0.49%,1129217
,Indiana,0.25%,0.40%,479204
,Mississippi,0.55%,0.69%,266988
,North Carolina,0.43%,0.63%,895429
,Delaware,0.57%,0.66%,115043
,South Carolina,0.57%,0.73%,469791
,Oklahoma,0.20%,0.43%,145914
,Kansas,0.36%,0.53%,91681
,Missouri,0.15%,0.33%,98294
,Michigan,0.41%,0.57%,694462
,Virginia,0.51%,0.76%,522526
,Alabama,0.34%,0.62%,49295
,Maine,0.50%,0.57%,106442
,Illinois,0.46%,0.65%,1003420
,Maryland,0.52%,0.76%,181296
,Wyoming,0.47%,0.67%,24703
,Pennsylvania,0.24%,0.42%,876640
,Minnesota,0.35%,0.49%,431393
,Rhode Island,0.59%,0.71%,91736
,Idaho,0.55%,0.62%,161570
,Louisiana,0.40%,0.51%,350222
,New York,0.37%,0.52%,725798
,Nebraska,0.22%,0.44%,76494
,Wisconsin,0.41%,0.54%,660821
,Guam,-,-,47
,Puerto Rico,-,-,425
,Georgia,0.44%,0.83%,611643
,New Jersey,0.46%,0.77%,246288
,Tennessee,0.48%,0.80%,144044
,Arkansas,0.74%,0.91%,209352
,Arizona,0.27%,0.40%,167961
,New Hampshire,0.61%,0.70%,84768
,Hawaii,0.41%,0.47%,96449
,Massachusetts,0.33%,0.49%,376618
,Iowa,0.56%,0.64%,325276
,New Mexico,0.15%,0.48%,15617
,Alaska,-,-,1867
,South Dakota,0.40%,0.52%,89614
,Oregon,0.55%,0.69%,361137
,North Dakota,0.35%,0.48%,119604
,Washington,0.28%,0.41%,197643
,Texas,0.47%,0.62%,2356513
,Montana,0.35%,0.49%,37643
,Connecticut,0.54%,0.68%,376559
,Colorado,0.37%,0.55%,513499
,Utah,0.08%,0.45%,121209
,California,0.30%,0.57%,1270097
,Vermont,0.71%,0.81%,46651
,Florida,0.54%,0.78%,1044519
,Nevada,0.36%,0.56%,122167
,District of Columbia,-,0.60%,2481
,Armed Forces Pacific,-,-,111
,Armed Forces Africa,-,-,151
,None of the above,0.36%,0.70%,223243
,Total,0.42%,0.61%,19378575
≥ 18 and < 25 Years,Marshall Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,Virgin Islands,-,-,67
,West Virginia,1.55%,2.33%,51036
,Kentucky,1.56%,2.27%,177255
,Ohio,1.18%,1.89%,547028
,Indiana,1.20%,1.91%,184111
,Mississippi,1.41%,2.20%,105554
,North Carolina,1.23%,1.94%,372379
,Delaware,1.68%,2.25%,26977
,South Carolina,1.47%,2.23%,180402
,Oklahoma,0.88%,1.78%,56048
