Session Title,DM in ICD10  by State Age 2025,,,
Session ID,2775699,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Has Any Encounters?,Base Patient,,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,State of Residence (U.S.),,,
Less than 18 Years,Marshall Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,Virgin Islands,-,-,93
,Alabama,0.36%,0.64%,43225
,Guam,-,-,23
,Mississippi,0.64%,0.82%,257027
,Kentucky,0.59%,0.76%,436608
,Delaware,0.55%,0.69%,110898
,Indiana,0.29%,0.49%,435971
,North Carolina,0.48%,0.70%,870508
,South Carolina,0.55%,0.76%,494579
,Ohio,0.33%,0.49%,1300758
,West Virginia,0.36%,0.57%,178299
,Illinois,0.51%,0.68%,925004
,Maine,0.55%,0.62%,97311
,Maryland,0.51%,0.87%,160359
,New Jersey,0.48%,0.79%,308526
,Kansas,0.25%,0.48%,107225
,Missouri,0.13%,0.34%,127443
,Pennsylvania,0.23%,0.46%,804048
,Michigan,0.46%,0.66%,762665
,Virginia,0.53%,0.78%,495428
,New York,0.44%,0.63%,711656
,Rhode Island,0.46%,0.60%,107534
,Oklahoma,0.82%,1.00%,217459
,Minnesota,0.38%,0.54%,398508
,Wisconsin,0.45%,0.54%,620188
,Hawaii,0.50%,0.60%,82615
,Iowa,0.52%,0.59%,363373
,New Mexico,0.12%,0.36%,18751
,Massachusetts,0.53%,0.72%,517108
,Nebraska,0.24%,0.48%,72682
,Louisiana,0.38%,0.52%,349913
,Idaho,0.55%,0.68%,157359
,Tennessee,0.58%,0.97%,194889
,New Hampshire,0.71%,0.82%,81489
,Georgia,0.44%,0.95%,570495
,Arizona,0.25%,0.39%,189930
,Arkansas,0.87%,1.04%,196960
,Connecticut,0.57%,0.77%,338983
,Wyoming,0.57%,1.04%,26179
,Florida,0.55%,0.78%,1162897
,Oregon,0.56%,0.72%,354013
,Texas,0.47%,0.63%,2374615
,Washington,0.26%,0.43%,202804
,California,0.25%,0.51%,1404040
,Montana,0.36%,0.59%,52121
,Puerto Rico,0.10%,0.55%,17243
,South Dakota,0.43%,0.59%,82994
,Alaska,-,-,1401
,North Dakota,0.36%,0.51%,125832
,Nevada,0.44%,0.67%,117610
,District of Columbia,-,-,1946
,Colorado,0.39%,0.58%,476887
,Vermont,0.76%,0.91%,42943
,Armed Forces Pacific,-,-,51
,Utah,0.32%,1.62%,137400
,Armed Forces Africa,-,-,74
,None of the above,0.40%,0.78%,207441
,Total,0.44%,0.66%,19894398
≥ 18 and < 25 Years,Marshall Islands,-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,Virgin Islands,-,-,57
,Alabama,1.94%,3.19%,22062
,Guam,-,-,17
,Mississippi,1.76%,2.67%,101288
,Kentucky,1.68%,2.52%,168158
,Delaware,1.82%,2.65%,27198
,Indiana,1.26%,2.05%,166770
