Session Title,OBESITY by ICD and BMI County Age 2025,,,
Session ID,2776891,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States KY_NC,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"BERTIE, NC",10.85%,6.84%,2018
,"IRON, MO",12.38%,-,210
,"HOLT, NE",-,-,112
,"SOMERSET, MD",11.56%,4.02%,1393
,"MARTIN, NC",10.47%,8.21%,1863
,"JASPER, MS",9.36%,4.80%,833
,"POWELL, KY",11.52%,7.47%,495
,"MADISON, MO",9.88%,-,162
,"SHERMAN, NE",-,-,43
,"JEFFERSON, MS",11.04%,-,154
,"DEKALB, MO",6.25%,2.78%,432
,"WASHINGTON, NC",11.31%,9.99%,1291
,"GATES, NC",8.85%,5.60%,768
,"LAWRENCE, MS",10.92%,3.58%,1172
,"PIKE, MS",11.77%,3.78%,2141
,"WALTHALL, MS",12.20%,4.03%,1066
,"NANCE, NE",13.68%,-,95
,"HARLAN, NE",-,-,38
,"CLINTON, MO",6.05%,2.66%,413
,"LENOIR, NC",9.78%,5.70%,4773
,"WILSON, NC",9.51%,9.19%,4005
,"YAZOO, MS",12.99%,7.56%,2263
,"OSWEGO, NY",9.36%,3.12%,833
,"PHELPS, NE",-,-,92
,"HARRISON, MO",9.38%,-,192
,"WASHINGTON, KY",14.00%,8.29%,350
,"FLOYD, KY",12.92%,7.31%,2586
,"FRANKLIN, NE",-,-,59
,"HUMPHREYS, MS",14.03%,7.13%,449
,"SCOTT, KY",9.66%,7.07%,2630
,"KEARNEY, NE",-,-,104
,"TUNICA, MS",9.89%,3.89%,283
,"NICHOLAS, KY",8.37%,9.51%,263
,"SAMPSON, NC",9.94%,7.61%,3140
,"SALINE, MO",-,-,26
,"SAINT FRANCOIS, MO",10.38%,2.60%,1233
,"WAYNE, MS",8.04%,4.36%,734
,"NEMAHA, NE",-,-,52
,"WAYNE, KY",16.75%,12.81%,203
,"GENTRY, MO",9.59%,2.31%,563
,"NELSON, KY",9.06%,4.78%,2990
,"SPENCER, KY",8.25%,4.15%,2072
,"FURNAS, NE",-,-,54
,"ST JOHN THE BAPTIST, LA",8.51%,3.93%,3209
,"WASHINGTON, MO",-,-,141
,"PIKE, KY",13.21%,6.73%,6610
,"LARUE, KY",10.07%,6.62%,1887
,"BUTLER, NE",-,-,59
,"KEMPER, MS",9.04%,4.99%,841
,"NEWTON, MS",11.27%,4.63%,1836
,"AMITE, MS",11.21%,3.97%,428
,"LAUREL, KY",12.40%,8.16%,3654
,"HALL, NE",7.45%,2.34%,1369
,"HOLMES, MS",11.72%,6.80%,1706
,"GOSPER, NE",-,-,11
,"JEFFERSON DAVIS, MS",8.60%,3.95%,1140
,"ANDREW, MO",8.31%,3.64%,1372
,"BUCHANAN, MO",9.79%,4.40%,7367
,"WAYNE, NC",9.39%,5.00%,8294
,"COLUMBUS, NC",9.70%,6.38%,1928
,"HALIFAX, NC",11.26%,4.92%,4530
,"HERTFORD, NC",10.76%,6.41%,2713
,"THURSTON, NE",9.86%,-,142
,"BLADEN, NC",10.87%,6.72%,3882
,"HOWARD, NE",-,-,72
,"JACKSON, KY",10.81%,8.21%,999
,"HOLT, MO",10.23%,-,264
,"MORGAN, KY",14.57%,9.72%,247
,"BENTON, MO",-,-,28
,"MEADE, KY",9.66%,6.09%,2691
,"EDGECOMBE, NC",11.65%,15.14%,6584
,"TRIMBLE, KY",12.52%,4.73%,719
,"TYRRELL, NC",8.94%,4.88%,369
,"LETCHER, KY",8.61%,6.60%,894
,"JONES, MS",8.83%,4.99%,4268
,"PERRY, MS",8.92%,8.72%,2019
,"HARRISON, KY",12.52%,8.75%,743
,"YORK, NE",-,-,117
,"FRANKLIN, NY",9.23%,3.50%,3943
,"PERRY, KY",10.08%,7.26%,744
,"ROWAN, KY",11.16%,9.03%,421
,"FILLMORE, NE",-,-,120
,"FRANKLIN, MS",7.91%,-,253
,"HITCHCOCK, NE",-,-,79
,"NORTHAMPTON, NC",9.25%,4.97%,1470
,"ROCK, NE",-,-,10 or fewer
,"ANDERSON, KY",8.11%,5.99%,2936
,"COVINGTON, MS",9.45%,4.93%,2497
