Session Title,OBESITY by ICD and BMI State Age 2025,,,
Session ID,2776886,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States ND_VA,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"WILLIAMSBURG, SC",12.83%,5.01%,1637
,"PORTSMOUTH CITY, VA",9.51%,3.11%,2409
,"SOUTHAMPTON, VA",11.06%,3.25%,615
,"FRANKLIN CITY, VA",8.48%,1.92%,731
,"PETERSBURG CITY, VA",10.87%,3.25%,2244
,"MARLBORO, SC",10.33%,9.94%,1036
,"HOPEWELL CITY, VA",8.56%,4.28%,981
,"SURRY, VA",7.92%,4.99%,341
,"BUCHANAN, VA",10.05%,6.65%,647
,"JACKSON, OH",8.72%,5.50%,218
,"MEIGS, OH",7.82%,4.96%,524
,"SUSSEX, VA",10.62%,4.42%,452
,"MARION, TN",10.09%,4.94%,991
,"NOTTOWAY, VA",10.60%,6.00%,717
,"ROSS, OH",10.63%,4.76%,988
,"BRUNSWICK, VA",9.83%,5.65%,956
,"WYTHE, VA",10.57%,4.57%,634
,"PICKAWAY, OH",7.04%,3.28%,3719
,"CLARENDON, SC",9.51%,3.96%,1997
,"DILLON, SC",10.76%,11.40%,3113
,"PIKE, OH",10.04%,6.69%,239
,"ARMSTRONG, PA",10.13%,-,375
,"DINWIDDIE, VA",10.15%,3.19%,1537
,"MORROW, OH",7.63%,4.76%,2687
,"PRINCE EDWARD, VA",13.69%,6.55%,504
,"BAMBERG, SC",12.09%,5.27%,1100
,"COLUMBIANA, OH",10.03%,1.88%,2971
,"FOREST, PA",-,-,10 or fewer
,"SUFFOLK CITY, VA",8.27%,3.25%,4209
,"LEE, SC",8.48%,3.59%,696
,"HOCKING, OH",8.79%,3.99%,751
,"GUERNSEY, OH",13.32%,4.51%,488
,"LAKE, TN",7.96%,7.96%,289
,"VINTON, OH",6.02%,7.63%,249
,"GREENSVILLE, VA",9.56%,2.83%,1025
,"HAMPTON CITY, VA",8.12%,5.25%,7602
