Session Title,OBESITY by ICD and BMI State Age 2024,,,
Session ID,2778562,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Has Any Encounters?,Base Patient,,
Session Date Range,1/1/2024 - 12/31/2024,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/19/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,State of Residence,,,
Less than 18 Years,West Virginia,8.21%,4.24%,181159
,Mississippi,8.31%,3.94%,284398
,Alabama,7.66%,4.18%,52859
,Kentucky,8.07%,5.33%,482418
,Indiana,6.84%,4.86%,494877
,Ohio,6.27%,5.71%,1416764
,Nebraska,6.17%,2.02%,82308
,Missouri,6.91%,2.97%,141453
,South Carolina,7.44%,7.69%,539096
,Maryland,5.91%,3.85%,184988
,Louisiana,7.23%,4.58%,383800
,Kansas,6.38%,6.24%,114362
,North Carolina,6.41%,5.54%,969390
,Pennsylvania,6.06%,6.56%,915097
,Iowa,6.60%,4.27%,372001
,Puerto Rico,9.53%,10.78%,13080
,Oklahoma,7.53%,5.81%,238283
,Virginia,6.15%,3.44%,577842
,Delaware,7.72%,10.57%,121865
,Illinois,6.61%,6.92%,1044279
,Arkansas,7.19%,5.82%,219525
,Michigan,6.10%,3.55%,806892
,Maine,6.66%,4.92%,107290
,Tennessee,6.60%,4.49%,188841
,Wisconsin,5.99%,4.00%,675515
,Connecticut,6.99%,8.76%,373521
,New Jersey,6.32%,4.99%,343682
,North Dakota,5.02%,4.46%,131607
,Minnesota,5.24%,5.57%,443981
,New York,6.58%,7.59%,789755
,Idaho,5.28%,4.22%,173370
,Texas,6.12%,5.52%,2571515
,New Mexico,6.06%,4.57%,18665
,Georgia,5.58%,3.96%,662596
,New Hampshire,5.69%,4.62%,89061
,Florida,5.97%,5.07%,1300838
,Wyoming,4.58%,2.43%,28796
,Massachusetts,5.75%,10.23%,534591
,South Dakota,4.69%,3.10%,91540
,Arizona,4.73%,5.93%,215437
,Montana,4.15%,2.12%,56246
,Oregon,5.96%,5.15%,383334
,Nevada,5.74%,3.95%,130244
,Vermont,5.71%,2.70%,48272
,District of Columbia,4.32%,1.60%,2617
,Alaska,3.96%,1.84%,1741
,Washington,4.90%,3.38%,236294
,Rhode Island,5.46%,10.05%,120313
,California,5.87%,7.78%,1518672
,Colorado,4.10%,3.13%,557593
,Hawaii,5.12%,3.89%,97623
,Utah,2.73%,2.69%,129492
,None of the above,5.00%,4.63%,233763
,Total,6.19%,5.58%,21893541
≥ 18 and < 25 Years,West Virginia,35.46%,14.29%,64977
,Mississippi,34.84%,11.87%,111924
,Alabama,33.30%,13.64%,26585
,Kentucky,33.88%,16.70%,186521
,Indiana,31.71%,12.93%,189281
,Ohio,29.25%,14.08%,619171
,Nebraska,26.08%,8.37%,58062
,Missouri,29.45%,13.77%,68515
,South Carolina,30.42%,12.87%,217292
,Maryland,26.76%,12.69%,107791
,Louisiana,30.20%,12.42%,162121
,Kansas,27.38%,11.15%,59612
,North Carolina,28.78%,13.09%,410710
,Pennsylvania,26.00%,11.42%,472450
,Iowa,29.03%,12.17%,132133
,Puerto Rico,31.29%,21.94%,5095
,Oklahoma,32.61%,11.82%,76308
,Virginia,26.40%,10.45%,272910
,Delaware,32.64%,16.54%,30596
,Illinois,27.74%,12.19%,382712
,Arkansas,34.31%,14.74%,60123
,Michigan,25.99%,11.52%,349058
,Maine,25.82%,11.31%,41642
,Tennessee,30.55%,12.06%,78523
,Wisconsin,25.30%,9.76%,234157
,Connecticut,23.77%,15.18%,167620
,New Jersey,24.13%,9.86%,179065
,North Dakota,24.55%,13.06%,47334
,Minnesota,24.14%,12.25%,173036
,New York,24.02%,11.34%,406141
,Idaho,25.67%,10.98%,63981
,Texas,29.82%,14.31%,683787
,New Mexico,26.88%,11.22%,12523
,Georgia,26.59%,11.35%,203896
,New Hampshire,22.20%,8.45%,34983
,Florida,25.33%,12.62%,490486
,Wyoming,24.22%,7.86%,9831
,Massachusetts,20.78%,13.23%,238905
,South Dakota,22.86%,9.58%,32574
,Arizona,21.65%,9.44%,102159
,Montana,19.42%,5.53%,27074
,Oregon,23.35%,9.45%,136861
,Nevada,23.53%,8.51%,55243
,Vermont,19.78%,6.67%,22939
,District of Columbia,18.24%,7.45%,8428
,Alaska,15.98%,3.64%,1070
,Washington,19.65%,6.25%,101660
,Rhode Island,18.39%,11.34%,46749
,California,22.06%,10.58%,580139
,Colorado,20.57%,7.64%,195153
,Hawaii,22.21%,8.84%,34236
,Utah,17.47%,6.69%,51898
,None of the above,22.50%,9.62%,120491
,Total,26.51%,11.97%,8646531
≥ 25 and < 35 Years,West Virginia,50.73%,24.31%,93554
,Mississippi,50.31%,21.23%,159332
,Alabama,47.44%,23.56%,44174
,Kentucky,49.28%,27.97%,283195
,Indiana,47.80%,23.59%,287689
,Ohio,45.43%,25.23%,937408
,Nebraska,43.03%,17.78%,82885
,Missouri,43.45%,23.90%,109735
,South Carolina,45.16%,21.80%,333712
,Maryland,42.01%,24.06%,189138
,Louisiana,45.52%,22.56%,229905
,Kansas,41.19%,19.42%,92212
,North Carolina,43.83%,23.05%,628391
,Pennsylvania,40.41%,20.76%,767022
,Iowa,46.08%,23.54%,182163
,Puerto Rico,42.88%,33.99%,7047
,Oklahoma,46.87%,19.71%,113004
,Virginia,40.99%,19.60%,449939
,Delaware,49.14%,24.95%,37063
,Illinois,42.98%,21.78%,570369
,Arkansas,49.46%,24.34%,86979
,Michigan,40.86%,21.79%,546630
,Maine,38.87%,19.82%,65522
,Tennessee,42.34%,18.52%,125211
,Wisconsin,41.38%,20.41%,334498
,Connecticut,38.58%,22.33%,255758
,New Jersey,38.42%,17.43%,301039
,North Dakota,40.67%,25.82%,73482
,Minnesota,38.85%,22.14%,257536
,New York,36.23%,18.53%,675893
,Idaho,40.54%,20.21%,91886
,Texas,43.99%,23.36%,1088074
,New Mexico,38.63%,18.21%,23887
,Georgia,41.02%,19.59%,300880
,New Hampshire,37.52%,17.28%,49644
,Florida,39.90%,21.95%,761615
,Wyoming,39.98%,15.20%,13767
,Massachusetts,32.74%,21.41%,380244
,South Dakota,36.99%,20.50%,44642
,Arizona,34.15%,15.91%,166130
,Montana,33.10%,11.86%,40383
,Oregon,33.42%,15.64%,221030
,Nevada,34.15%,15.61%,99897
,Vermont,31.40%,13.61%,36571
,District of Columbia,24.00%,10.56%,28628
,Alaska,32.06%,11.86%,1282
,Washington,28.30%,10.98%,198560
,Rhode Island,29.71%,17.76%,69314
,California,30.88%,15.10%,963106
,Colorado,29.85%,12.37%,349984
,Hawaii,34.01%,16.17%,58324
,Utah,28.48%,12.63%,80780
,None of the above,32.39%,15.41%,218657
,Total,40.12%,20.57%,13607770
≥ 35 and < 45 Years,West Virginia,54.49%,28.25%,100742
,Mississippi,54.84%,25.95%,178242
,Alabama,51.30%,28.31%,54036
,Kentucky,53.25%,32.44%,299971
,Indiana,52.32%,28.76%,303562
,Ohio,50.12%,30.42%,996498
,Nebraska,47.45%,22.47%,86858
,Missouri,48.07%,29.37%,114406
,South Carolina,50.50%,26.01%,357981
,Maryland,47.24%,29.43%,208586
,Louisiana,50.46%,28.94%,257700
,Kansas,45.28%,24.73%,104428
,North Carolina,48.70%,28.17%,665144
,Pennsylvania,44.96%,24.42%,830938
,Iowa,50.85%,28.04%,192116
,Puerto Rico,52.33%,44.35%,6652
,Oklahoma,49.77%,24.09%,125982
,Virginia,45.40%,23.57%,524515
,Delaware,54.33%,29.90%,39825
,Illinois,48.49%,26.86%,594941
,Arkansas,52.35%,28.76%,94384
,Michigan,45.51%,27.16%,557587
,Maine,42.91%,23.65%,76262
,Tennessee,46.33%,22.49%,131561
,Wisconsin,47.20%,25.49%,352396
,Connecticut,43.69%,26.69%,283190
,New Jersey,43.31%,21.34%,336666
,North Dakota,45.45%,31.94%,77624
,Minnesota,44.51%,28.57%,286280
,New York,41.69%,22.63%,696176
,Idaho,43.60%,24.39%,100346
,Texas,47.83%,27.19%,1225269
,New Mexico,41.25%,19.68%,26226
,Georgia,46.14%,24.99%,334868
,New Hampshire,42.55%,20.18%,55030
,Florida,44.13%,27.66%,831930
,Wyoming,42.94%,18.24%,16126
,Massachusetts,39.51%,27.89%,384261
,South Dakota,40.81%,24.81%,47485
,Arizona,39.15%,20.57%,165623
,Montana,36.32%,14.70%,42323
,Oregon,37.19%,18.44%,232726
,Nevada,37.42%,19.78%,101714
,Vermont,33.61%,14.90%,45090
,District of Columbia,30.21%,13.73%,23787
,Alaska,38.67%,15.84%,1174
,Washington,32.92%,13.75%,211243
,Rhode Island,34.50%,22.91%,71968
,California,34.10%,18.05%,985951
,Colorado,34.07%,15.95%,343594
,Hawaii,35.54%,17.74%,68151
,Utah,33.71%,16.84%,77822
,None of the above,38.22%,20.05%,185581
,Total,44.83%,25.15%,14513537
≥ 45 and < 55 Years,West Virginia,58.41%,31.78%,117616
,Mississippi,58.43%,29.46%,204295
,Alabama,54.08%,30.61%,68323
,Kentucky,57.59%,37.42%,319025
,Indiana,56.39%,33.28%,309650
,Ohio,54.62%,35.42%,1013638
,Nebraska,51.70%,25.85%,82702
,Missouri,53.40%,34.44%,112960
,South Carolina,54.56%,30.07%,374429
,Maryland,51.28%,33.73%,200508
,Louisiana,54.04%,34.28%,253638
,Kansas,49.54%,28.54%,103157
,North Carolina,52.59%,32.51%,713627
,Pennsylvania,49.25%,28.17%,823588
,Iowa,55.27%,32.51%,179523
,Puerto Rico,56.07%,51.08%,7567
,Oklahoma,52.87%,27.79%,131749
,Virginia,48.50%,26.87%,541674
,Delaware,56.95%,33.09%,40121
,Illinois,51.92%,30.81%,617987
,Arkansas,54.18%,30.93%,106435
,Michigan,49.59%,31.72%,567205
,Maine,48.19%,28.29%,78971
,Tennessee,49.43%,25.32%,153207
,Wisconsin,52.21%,30.78%,333544
,Connecticut,47.25%,31.00%,286993
,New Jersey,45.32%,24.21%,368730
,North Dakota,51.92%,38.72%,63965
,Minnesota,49.82%,34.80%,261175
,New York,45.01%,25.58%,706996
,Idaho,47.05%,28.15%,103220
,Texas,50.91%,30.31%,1241267
,New Mexico,45.25%,22.59%,26592
,Georgia,49.73%,29.21%,378840
,New Hampshire,46.76%,22.72%,59648
,Florida,46.26%,31.58%,874829
,Wyoming,47.94%,22.14%,16478
,Massachusetts,42.88%,32.30%,376857
,South Dakota,46.15%,30.11%,42401
,Arizona,42.55%,24.35%,165476
,Montana,41.59%,18.77%,39375
,Oregon,41.77%,21.88%,212741
,Nevada,40.29%,23.52%,95360
,Vermont,37.37%,17.39%,46301
,District of Columbia,37.19%,17.28%,15758
,Alaska,42.75%,19.75%,1104
,Washington,37.18%,16.26%,185239
,Rhode Island,37.47%,26.17%,71561
,California,36.86%,20.57%,937204
,Colorado,37.37%,19.75%,304239
,Hawaii,35.04%,18.56%,73586
,Utah,36.71%,18.73%,69898
,None of the above,43.46%,24.05%,162250
,Total,48.65%,29.13%,14643222
≥ 55 and < 65 Years,West Virginia,55.91%,30.04%,137318
,Mississippi,55.04%,27.69%,235894
,Alabama,50.94%,28.80%,83178
,Kentucky,55.39%,36.34%,357142
,Indiana,54.34%,32.69%,341289
,Ohio,52.92%,34.97%,1166145
,Nebraska,50.57%,25.38%,95468
,Missouri,52.31%,34.75%,131699
,South Carolina,52.12%,29.31%,441841
,Maryland,49.51%,33.42%,247440
,Louisiana,51.83%,33.22%,288906
,Kansas,50.01%,29.26%,119895
,North Carolina,51.62%,32.37%,794004
,Pennsylvania,48.58%,28.04%,992025
,Iowa,53.66%,32.59%,196727
,Puerto Rico,52.59%,51.57%,9009
,Oklahoma,50.38%,27.63%,150182
,Virginia,48.25%,27.14%,630219
,Delaware,54.08%,32.54%,54329
,Illinois,50.39%,30.48%,691506
,Arkansas,50.78%,28.64%,122839
,Michigan,47.44%,30.80%,671118
,Maine,47.62%,28.20%,105364
,Tennessee,46.69%,23.57%,184542
,Wisconsin,51.11%,31.48%,394378
,Connecticut,47.34%,31.38%,360649
,New Jersey,44.82%,24.02%,457537
,North Dakota,50.69%,38.13%,69808
,Minnesota,49.16%,35.57%,307460
,New York,44.74%,25.46%,906544
,Idaho,46.60%,29.83%,110425
,Texas,49.42%,29.84%,1272961
,New Mexico,41.85%,20.46%,35051
,Georgia,48.12%,28.86%,419301
,New Hampshire,44.75%,21.52%,84848
,Florida,44.18%,31.12%,1060059
,Wyoming,44.97%,20.24%,20585
,Massachusetts,43.34%,32.56%,448281
,South Dakota,45.34%,29.11%,47215
,Arizona,40.88%,23.81%,187752
,Montana,41.00%,18.53%,44905
,Oregon,42.31%,23.15%,213892
,Nevada,39.28%,24.88%,104370
,Vermont,37.22%,17.44%,59819
,District of Columbia,38.90%,16.94%,14896
,Alaska,36.97%,16.56%,1504
,Washington,37.61%,16.48%,193240
,Rhode Island,37.38%,26.13%,92647
,California,36.18%,20.42%,993555
,Colorado,36.81%,20.33%,308119
,Hawaii,32.93%,17.77%,84873
,Utah,36.06%,18.11%,61852
,None of the above,43.26%,23.72%,173225
,Total,47.47%,28.91%,16777830
65 Years or more,West Virginia,46.06%,23.66%,239071
,Mississippi,44.36%,22.34%,394791
,Alabama,40.70%,27.09%,143789
,Kentucky,46.40%,30.34%,543938
,Indiana,47.32%,29.13%,549398
,Ohio,46.04%,32.04%,1918628
,Nebraska,44.28%,21.03%,184409
,Missouri,44.40%,31.68%,231551
,South Carolina,43.16%,26.54%,753955
,Maryland,40.57%,27.92%,401893
,Louisiana,43.53%,29.39%,462163
,Kansas,43.86%,26.10%,219629
,North Carolina,43.53%,27.10%,1309804
,Pennsylvania,42.43%,24.80%,1653176
,Iowa,46.40%,28.29%,332013
,Puerto Rico,38.29%,35.27%,10121
,Oklahoma,42.15%,25.32%,251550
,Virginia,40.52%,23.15%,1034009
,Delaware,47.46%,29.30%,97918
,Illinois,43.32%,28.60%,1155547
,Arkansas,40.00%,22.44%,207700
,Michigan,41.91%,27.70%,1113152
,Maine,40.97%,24.41%,202448
,Tennessee,36.83%,18.46%,318675
,Wisconsin,45.99%,37.07%,613662
,Connecticut,42.19%,27.71%,565342
,New Jersey,37.68%,19.54%,738464
,North Dakota,46.17%,35.94%,115429
,Minnesota,43.87%,33.42%,529888
,New York,38.15%,21.54%,1523194
,Idaho,43.68%,31.95%,200721
,Texas,40.50%,24.34%,1952017
,New Mexico,31.47%,15.60%,70748
,Georgia,39.15%,23.86%,668578
,New Hampshire,37.44%,18.01%,142882
,Florida,35.50%,26.11%,1844094
,Wyoming,37.97%,16.90%,42698
,Massachusetts,38.62%,26.61%,692768
,South Dakota,39.97%,26.65%,79660
,Arizona,32.89%,18.57%,334000
,Montana,35.98%,18.01%,83619
,Oregon,37.14%,20.98%,396318
,Nevada,32.43%,22.78%,154967
,Vermont,32.45%,13.75%,109237
,District of Columbia,28.40%,10.92%,22057
,Alaska,31.23%,14.13%,3135
,Washington,32.69%,14.20%,327695
,Rhode Island,34.12%,24.77%,151321
,California,28.24%,16.11%,1569994
,Colorado,31.11%,17.79%,518398
,Hawaii,23.59%,12.92%,156627
,Utah,30.11%,14.15%,100704
,None of the above,36.72%,20.36%,236975
,Total,40.15%,25.15%,27674520
"Total: Total includes all data, including data from rows not currently displayed.",West Virginia,41.77%,21.33%,903739
,Mississippi,41.73%,19.84%,1530887
,Alabama,41.70%,24.05%,461021
,Kentucky,41.26%,25.70%,2382549
,Indiana,40.14%,22.86%,2435054
,Ohio,39.72%,25.47%,7823074
,Nebraska,39.65%,18.28%,652059
,Missouri,39.53%,25.06%,880209
,South Carolina,39.04%,22.01%,2947601
,Maryland,38.86%,24.85%,1505876
,Louisiana,38.69%,23.26%,1970340
,Kansas,38.48%,21.73%,789284
,North Carolina,38.38%,22.92%,5404058
,Pennsylvania,37.48%,21.29%,6230440
,Iowa,37.35%,21.26%,1548271
,Puerto Rico,37.25%,33.27%,56591
,Oklahoma,37.17%,19.63%,1053946
,Virginia,36.94%,19.68%,3989157
,Delaware,36.79%,22.76%,428080
,Illinois,36.59%,22.04%,4924464
,Arkansas,36.40%,20.17%,872038
,Michigan,35.97%,22.01%,4464111
,Maine,35.94%,20.61%,670251
,Tennessee,35.85%,17.57%,1154447
,Wisconsin,35.57%,22.08%,2874858
,Connecticut,35.54%,23.42%,2261358
,New Jersey,35.39%,18.10%,2639060
,North Dakota,34.86%,25.23%,556303
,Minnesota,34.72%,23.96%,2289167
,New York,34.37%,19.43%,5552904
,Idaho,34.27%,21.36%,839936
,Texas,34.11%,20.10%,9864548
,New Mexico,34.03%,16.58%,209769
,Georgia,33.87%,19.24%,2891569
,New Hampshire,33.24%,15.97%,503815
,Florida,33.07%,22.12%,6991314
,Wyoming,32.74%,14.20%,145643
,Massachusetts,31.51%,23.19%,3002770
,South Dakota,30.68%,18.96%,372269
,Arizona,30.65%,16.88%,1352545
,Montana,29.83%,13.06%,323022
,Oregon,29.67%,15.80%,1750985
,Nevada,29.65%,17.11%,738563
,Vermont,29.24%,12.79%,356706
