Session Title,DM in ICD10 and HbA1c 6.5+ by County Age 2024,,,
Session ID,2775929,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States KY_NC,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2024 - 12/31/2024,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"VANCE, NC",1.77%,1.85%,2319
,"BERTIE, NC",-,0.60%,2155
,"LENOIR, NC",0.92%,1.23%,5864
,"WASHINGTON, NC",-,0.88%,1359
,"ESMERALDA, NV",-,-,10 or fewer
,"CLEVELAND, NC",-,0.50%,2990
,"MARTIN, NC",0.76%,1.14%,2110
,"HERTFORD, NC",0.70%,0.95%,2846
,"BLADEN, NC",1.01%,1.23%,4545
,"PERRY, MS",0.61%,0.57%,2295
,"WEBSTER, MS",-,0.74%,1478
,"WARREN, NC",-,1.59%,693
,"MUHLENBERG, KY",1.94%,2.06%,875
,"YADKIN, NC",-,0.34%,3568
,"GRANVILLE, NC",0.71%,0.86%,5791
,"EDGECOMBE, NC",0.68%,1.09%,7402
,"SOMERSET, MD",-,1.00%,1496
,"WILSON, NC",1.02%,1.26%,4619
,"HOWARD, MO",-,-,10 or fewer
,"WALTHALL, MS",0.86%,1.33%,1281
,"CLAY, MS",0.45%,0.61%,3104
,"JEFFERSON DAVIS, MS",-,-,1286
,"ANDERSON, KY",0.43%,0.58%,3259
,"STOKES, NC",-,0.33%,5473
,"PENDLETON, KY",-,-,2670
,"YAZOO, MS",0.87%,1.02%,2639
,"ESTILL, KY",-,1.00%,1598
,"POWELL, KY",-,-,599
,"MCDOWELL, NC",-,-,2889
,"SURRY, NC",-,0.40%,4739
,"GATES, NC",-,-,876
,"CHRISTIAN, KY",-,-,888
,"KNOX, KY",0.98%,1.34%,3049
,"ALAMANCE, NC",0.56%,0.83%,22611
,"GRUNDY, MO",-,-,1444
,"WAYNE, NC",0.63%,0.96%,10034
,"BEAUFORT, NC",0.55%,0.91%,4750
,"SAMPSON, NC",0.94%,1.24%,3619
,"SCHOHARIE, NY",0.37%,0.50%,3770
,"BOYD, NE",-,-,42
,"MERCER, MO",-,-,408
,"KEMPER, MS",1.38%,1.50%,868
,"CHOWAN, NC",-,0.61%,2309
,"COVINGTON, MS",0.71%,0.86%,2804
,"RUTHERFORD, NC",-,1.14%,1049
,"SAINT FRANCOIS, MO",-,-,1369
,"ORLEANS, NY",0.56%,0.61%,3921
,"LESLIE, KY",-,1.04%,1250
,"NANCE, NE",-,-,108
,"MONTGOMERY, MS",-,-,972
,"CALDWELL, NC",0.21%,0.40%,11262
,"RIPLEY, MO",-,-,882
,"IRON, MO",-,-,239
,"ROBESON, NC",0.57%,0.90%,12822
,"GALLATIN, KY",-,-,1356
,"LAUREL, KY",0.88%,1.07%,3635
,"MARION, MS",0.63%,0.73%,3974
,"LAWRENCE, MS",-,0.77%,1433
,"WHITLEY, KY",0.36%,0.53%,6361
,"SPENCER, KY",0.55%,0.63%,2385
,"DAVIE, NC",-,0.33%,3590
,"FRANKLIN, NC",0.72%,0.85%,8077
,"WORTH, MO",-,-,211
,"MISSISSIPPI, MO",-,-,2064
,"TODD, KY",-,-,45
,"HINDS, MS",0.61%,0.80%,22682
,"MADISON, NC",-,-,1299
,"UNION, KY",-,0.47%,2365
,"NEWTON, MS",0.88%,1.22%,2045
,"CASWELL, NC",-,1.07%,1399
,"KEYA PAHA, NE",-,-,16
,"WASHINGTON, MD",0.25%,0.56%,19658
,"DAVIDSON, NC",0.14%,0.39%,11791
,"ROWAN, NC",0.28%,0.51%,9810
,"NORTHAMPTON, NC",-,0.81%,1613
,"SULLIVAN, MO",-,-,82
,"POINTE COUPEE, LA",-,-,2727
,"HYDE, NC",-,-,310
,"GRANT, KY",0.26%,0.37%,6196
,"FREEBORN, MN",-,-,195
,"CHOCTAW, MS",-,-,614
,"WASHINGTON, MO",-,-,159
,"NELSON, KY",0.73%,0.88%,3426
,"JONES, NC",-,-,277
,"ST JOHN THE BAPTIST, LA",-,0.36%,3934
,"RAY, MO",-,-,195
,"WAYNE, NY",0.41%,0.65%,15618
,"HOLMES, MS",0.69%,1.04%,2028
,"LARUE, KY",-,0.61%,2148
,"IBERVILLE, LA",0.48%,0.50%,4397
,"CHICKASAW, MS",0.55%,0.65%,2013
,"ELKO, NV",-,0.71%,2112
,"HOPKINS, KY",0.39%,0.59%,3364
,"AITKIN, MN",-,-,1672
,"LAKE, MI",-,-,901
,"LIVINGSTON, NY",0.41%,0.51%,8222
,"FRANKLIN, KY",0.31%,0.49%,7510
,"NESHOBA, MS",1.06%,1.14%,2460
,"MARSHALL, KY",0.25%,0.41%,4389
,"WASHINGTON, LA",0.26%,0.46%,4612
,"HOLT, NE",-,-,111
,"PEARL RIVER, MS",0.35%,0.52%,9468
,"FRANKLIN, ME",0.63%,0.72%,3197
,"GASTON, NC",0.40%,0.48%,11785
,"SCOTT, MS",0.70%,0.96%,2293
,"FULTON, KY",-,-,601
,"HENDERSON, KY",0.34%,0.43%,8129
,"HERKIMER, NY",0.26%,0.53%,7680
,"GENESEE, NY",0.36%,0.47%,7693
,"BRUNSWICK, NC",0.56%,0.81%,9840
,"LEAKE, MS",0.73%,0.73%,2751
,"BIG HORN, MT",-,3.53%,312
,"LIVINGSTON, MO",-,-,1895
,"TUNICA, MS",-,-,279
,"WEBSTER, KY",-,-,1631
,"OTSEGO, NY",0.26%,0.40%,9069
,"PRENTISS, MS",0.42%,0.56%,2849
,"OSCEOLA, MI",0.34%,0.34%,3209
,"NASH, NC",0.74%,0.97%,10243
,"CHENANGO, NY",-,0.39%,8482
,"WILKES, NC",-,-,1652
,"AROOSTOOK, ME",-,-,2965
,"WORCESTER, MD",0.93%,1.32%,2047
,"MERRICK, NE",-,-,853
,"CAROLINE, MD",0.44%,0.67%,3604
,"PASQUOTANK, NC",-,0.24%,4657
,"DELAWARE, NY",0.31%,0.47%,6383
,"MONROE, NY",0.44%,0.51%,113816
,"QUITMAN, MS",-,-,89
,"OWEN, KY",-,-,1167
,"CLINTON, MO",-,-,466
,"PERSON, NC",0.66%,0.79%,3810
,"HARNETT, NC",0.98%,1.27%,12135
,"WIBAUX, MT",-,-,31
,"GREENE, NC",-,1.05%,1520
,"PERSHING, NV",-,-,159
,"PIKE, MS",1.12%,1.20%,2585
,"ALLEGANY, NY",0.43%,0.55%,4890
,"HALIFAX, NC",0.78%,1.18%,5160
,"TYRRELL, NC",-,-,422
,"GENTRY, MO",-,-,615
,"HILLSDALE, MI",0.29%,0.48%,3761
,"ITASCA, MN",0.38%,0.45%,7725
,"CLAY, KY",1.00%,1.25%,3986
,"HALL, NE",-,-,1606
,"COPIAH, MS",1.24%,1.67%,1375
,"OXFORD, ME",0.55%,0.59%,6572
,"CARROLL, MS",-,-,1016
,"WAYNE, MO",-,-,1525
,"CLARKE, MS",-,-,1847
,"BOONE, KY",0.44%,0.55%,24944
,"WASHINGTON, KY",-,-,416
,"ROCKINGHAM, NC",0.25%,0.55%,11925
,"OCEANA, MI",-,0.33%,5154
,"HICKORY, MO",-,-,24
,"REYNOLDS, MO",-,-,378
,"RANKIN, MS",0.70%,0.74%,14078
,"BRACKEN, KY",-,1.66%,783
,"MCKINLEY, NM",-,-,73
,"SCOTT, KY",0.99%,1.27%,2923
,"MERCER, KY",1.61%,1.88%,1117
,"ANSON, NC",-,-,991
,"JEFFERSON, NY",-,-,683
,"KENTON, KY",0.43%,0.57%,25671
,"HARRISON, KY",-,1.34%,821
,"JACKSON, MI",0.26%,0.46%,24958
,"MORA, NM",-,-,10 or fewer
,"LAFAYETTE, MO",-,-,338
,"FORSYTH, NC",0.12%,0.33%,50112
,"STANTON, NE",-,-,271
,"PISCATAQUIS, ME",-,-,184
,"DAVIESS, MO",-,-,343
,"MONROE, MO",-,-,10 or fewer
,"WICOMICO, MD",0.80%,1.05%,7725
,"COLUMBUS, NC",1.02%,1.40%,2357
,"BULLITT, KY",0.44%,0.56%,15394
,"HARDIN, KY",0.41%,0.48%,20825
,"JOHNSTON, NC",0.62%,0.83%,25670
,"PIKE, KY",0.63%,0.74%,7407
,"RANDOLPH, NC",0.54%,1.06%,5571
,"WEST BATON ROUGE, LA",0.39%,0.44%,5194
,"KOOCHICHING, MN",-,-,1798
,"STONE, MS",-,0.63%,2221
,"LYON, KY",-,-,640
,"MEADE, KY",0.52%,0.66%,2898
,"CHATHAM, NC",0.38%,0.57%,7963
,"DEKALB, MO",-,-,485
,"MASON, MI",0.37%,0.43%,4623
,"PERQUIMANS, NC",-,-,1559
,"CASS, MI",0.37%,0.58%,4838
,"BERRIEN, MI",0.46%,0.56%,22575
,"LEFLORE, MS",0.73%,0.70%,3148
,"SIMPSON, MS",0.60%,0.76%,1843
,"FARIBAULT, MN",-,-,1544
,"MUSSELSHELL, MT",-,-,100
,"BENTON, MO",-,-,38
,"KENT, MD",-,-,1323
,"CALHOUN, MS",-,-,1550
,"TREASURE, MT",-,-,35
,"MONTGOMERY, NY",-,0.81%,1718
,"BUTLER, MO",-,0.46%,6526
,"CAMPBELL, KY",0.39%,0.51%,13682
,"TRAVERSE, MN",-,-,614
,"AMITE, MS",-,-,519
,"BELL, KY",0.84%,0.96%,1659
,"ONTARIO, NY",0.35%,0.41%,15812
,"MONROE, MS",0.71%,0.96%,3648
,"EUREKA, NV",-,-,35
,"CAPE MAY, NJ",1.26%,1.31%,1752
,"NORMAN, MN",-,-,1207
,"JASPER, MS",-,1.37%,1025
,"MONTGOMERY, NC",-,2.99%,401
,"CAMDEN, NC",-,-,1182
,"HUMPHREYS, MS",-,2.22%,495
,"HARRISON, MO",-,-,243
,"LOWNDES, MS",0.46%,0.73%,7113
,"SMITH, MS",-,-,1021
,"HOLT, MO",-,-,534
,"BRANCH, MI",0.27%,0.42%,5535
,"CAMDEN, NJ",0.37%,0.50%,57184
,"LENAWEE, MI",0.24%,0.50%,12667
,"MECOSTA, MI",0.54%,0.61%,5714
,"TRIMBLE, KY",-,-,736
,"LAMAR, MS",0.50%,0.58%,9786
,"STEUBEN, NY",0.42%,0.49%,15501
,"NICHOLAS, KY",-,-,266
,"JACKSON, MO",-,0.28%,13809
,"GRENADA, MS",0.56%,0.94%,2660
,"LEE, KY",-,-,415
,"JEFFERSON, KY",0.43%,0.55%,114550
,"LIVINGSTON, KY",-,-,1186
,"THURSTON, NE",-,-,187
,"LAUDERDALE, MS",0.43%,0.53%,9252
,"TIOGA, NY",0.21%,0.52%,7288
,"COTTONWOOD, MN",-,-,1598
,"WINSTON, MS",1.48%,1.75%,742
,"MAHNOMEN, MN",-,-,967
,"WALDO, ME",0.32%,0.41%,3447
,"GAGE, NE",-,0.32%,3795
,"KEWEENAW, MI",-,-,19
