Session Title,OBESITY by ICD and BMI State Age 2023,,,
Session ID,2778565,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Has Any Encounters?,Base Patient,,
Session Date Range,1/1/2023 - 12/31/2023,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/19/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,State of Residence,,,
Less than 18 Years,Alabama,7.70%,3.45%,54273
,Kentucky,8.09%,5.38%,464328
,Mississippi,8.30%,3.68%,276862
,West Virginia,8.03%,3.89%,157902
,Indiana,6.96%,4.99%,488442
,Missouri,7.24%,2.70%,124885
,Nebraska,6.21%,1.98%,77290
,Ohio,6.04%,5.64%,1320145
,Maryland,5.87%,4.06%,184630
,North Carolina,6.35%,5.40%,943352
,South Carolina,7.31%,7.51%,526181
,Kansas,6.53%,6.81%,107946
,Louisiana,6.94%,4.57%,380511
,Tennessee,7.11%,3.91%,154812
,Pennsylvania,6.02%,6.68%,912130
,Iowa,6.49%,4.16%,347759
,Puerto Rico,8.81%,5.14%,5152
,Michigan,6.29%,3.81%,715665
,Arkansas,7.21%,5.55%,214961
,Virginia,6.03%,3.76%,570768
,Oklahoma,6.67%,5.06%,208669
,Delaware,7.67%,10.45%,120503
,Illinois,6.66%,7.06%,1032747
,Maine,6.53%,4.93%,105428
,Wisconsin,6.09%,3.96%,670745
,New Jersey,6.10%,5.05%,290423
,Connecticut,6.94%,9.14%,369145
,New York,6.47%,7.89%,750192
,Minnesota,5.09%,5.53%,440163
,Texas,6.21%,5.46%,2446145
,Idaho,5.30%,4.15%,167244
,North Dakota,5.02%,4.54%,123307
,New Mexico,5.74%,3.48%,18140
,New Hampshire,5.84%,4.62%,84203
,Georgia,5.40%,4.05%,651837
,Wyoming,4.22%,2.32%,27872
,Massachusetts,6.12%,11.66%,415957
,Florida,5.56%,4.59%,1257087
,South Dakota,4.67%,2.86%,90467
,District of Columbia,3.26%,1.43%,2453
,Arizona,4.26%,5.76%,198136
,Alaska,3.61%,2.15%,1771
,Oregon,5.99%,5.45%,362508
,Vermont,5.65%,2.88%,47430
,Nevada,5.35%,3.97%,125908
,Rhode Island,5.22%,8.15%,105391
,Montana,3.82%,1.93%,45125
,Washington,4.77%,3.46%,231322
,California,6.03%,8.08%,1379091
,Hawaii,4.61%,3.34%,93444
,Utah,2.80%,2.78%,126112
,Colorado,4.06%,3.20%,544483
,None of the above,4.98%,4.57%,229327
,Total,6.14%,5.58%,20790769
≥ 18 and < 25 Years,Alabama,32.54%,12.60%,26993
,Kentucky,33.45%,15.62%,182164
,Mississippi,34.41%,10.78%,108759
,West Virginia,34.53%,12.84%,59474
,Indiana,31.88%,12.24%,187345
,Missouri,29.16%,13.99%,63754
,Nebraska,25.75%,7.55%,53305
,Ohio,28.60%,13.35%,589187
,Maryland,26.02%,12.34%,106355
,North Carolina,28.17%,12.48%,387996
,South Carolina,29.33%,12.04%,204246
,Kansas,26.56%,10.49%,55939
,Louisiana,28.83%,11.42%,155741
,Tennessee,31.10%,11.06%,71953
,Pennsylvania,25.49%,11.07%,458679
,Iowa,28.55%,11.46%,127615
,Puerto Rico,30.36%,18.55%,1871
,Michigan,26.22%,11.35%,314047
,Arkansas,34.48%,14.52%,59567
,Virginia,25.76%,10.24%,269256
,Oklahoma,31.02%,10.64%,68792
,Delaware,31.89%,16.05%,29614
,Illinois,26.98%,11.76%,376714
,Maine,25.17%,11.09%,40688
,Wisconsin,25.08%,9.34%,234103
,New Jersey,22.48%,9.22%,161008
,Connecticut,22.66%,14.16%,166011
,New York,23.15%,10.85%,387656
,Minnesota,23.11%,11.38%,173215
,Texas,29.36%,13.70%,646492
,Idaho,25.23%,10.69%,60104
,North Dakota,23.80%,11.86%,44501
,New Mexico,26.57%,10.37%,13105
,New Hampshire,22.30%,8.46%,34207
,Georgia,25.41%,10.22%,194177
,Wyoming,23.00%,7.02%,9214
,Massachusetts,20.07%,12.87%,215099
,Florida,23.78%,11.16%,461591
,South Dakota,22.59%,8.68%,31328
,District of Columbia,17.25%,6.71%,7166
,Arizona,20.54%,9.31%,86942
,Alaska,18.25%,4.76%,904
,Oregon,22.77%,9.10%,133258
,Vermont,19.09%,6.85%,22673
,Nevada,22.01%,7.87%,55684
,Rhode Island,17.62%,10.72%,43595
,Montana,16.13%,4.76%,25085
,Washington,18.96%,6.06%,98104
,California,21.09%,10.18%,495281
,Hawaii,20.03%,7.63%,33849
,Utah,17.44%,6.66%,50074
,Colorado,19.87%,7.44%,189714
,None of the above,21.28%,8.67%,122154
,Total,25.82%,11.35%,8196348
≥ 25 and < 35 Years,Alabama,45.91%,21.54%,44563
,Kentucky,47.86%,25.74%,276811
