Session Title,OBESITY by ICD and BMI State Age 2025,,,
Session ID,2775940,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Has Any Encounters?,Base Patient,,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),DM (%),Number of Patients
Age at Encounter in Years,State of Residence (U.S.),,,
Less than 18 Years,"American Samoa, South Pacific",-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,Mississippi,8.75%,4.86%,257027
,Alabama,8.05%,6.32%,43225
,West Virginia,8.42%,4.84%,178299
,Kentucky,8.30%,6.03%,436608
,Nebraska,6.69%,2.35%,72682
,Indiana,6.99%,5.30%,435971
,Ohio,6.49%,6.15%,1300758
,Virgin Islands,-,-,93
,Maryland,6.70%,4.41%,160359
,Kansas,6.57%,6.21%,107225
,Missouri,6.80%,3.33%,127443
,Louisiana,7.48%,5.46%,349913
,South Carolina,7.51%,8.09%,494579
,Tennessee,7.73%,6.60%,194889
,Iowa,6.77%,4.99%,363373
,Oklahoma,8.19%,6.22%,217459
,North Carolina,6.65%,6.32%,870508
,Virginia,6.68%,3.94%,495428
,Pennsylvania,6.13%,6.90%,804048
,Michigan,6.43%,4.36%,762665
,Delaware,7.80%,11.02%,110898
,Puerto Rico,9.59%,15.36%,17243
,Illinois,6.74%,7.76%,925004
,Arkansas,7.66%,6.99%,196960
,Northern Mariana Islands,-,-,10 or fewer
,New Jersey,7.03%,6.05%,308526
,Wisconsin,5.95%,4.67%,620188
,Minnesota,5.52%,6.07%,398508
,Connecticut,6.96%,7.50%,338983
,Georgia,6.21%,4.76%,570495
,North Dakota,5.19%,4.59%,125832
,New York,7.00%,8.09%,711656
,Maine,6.76%,5.20%,97311
,New Mexico,7.67%,5.56%,18751
,Texas,6.36%,6.48%,2374615
,Florida,6.35%,6.33%,1162897
,Marshall Islands,-,-,10 or fewer
,Guam,-,-,23
,Wyoming,4.91%,2.65%,26179
,Idaho,5.30%,4.46%,157359
,New Hampshire,5.76%,5.16%,81489
,Armed Forces America,-,-,20
,Arizona,5.37%,6.34%,189930
,Montana,4.65%,2.61%,52121
,Massachusetts,6.25%,10.95%,517108
,South Dakota,4.77%,3.48%,82994
,District of Columbia,5.34%,1.64%,1946
,Oregon,6.07%,5.83%,354013
,Vermont,6.05%,3.02%,42943
,Nevada,6.00%,4.60%,117610
,Washington,5.19%,3.72%,202804
,Alaska,4.43%,2.43%,1401
,Rhode Island,5.72%,11.76%,107534
,Armed Forces Pacific,-,-,51
,Colorado,4.34%,3.35%,476887
,Armed Forces Africa,-,-,74
,California,6.09%,8.93%,1404040
,Hawaii,5.59%,4.68%,82615
,None of the above,4.33%,4.51%,344821
,Total,6.47%,6.31%,19894398
≥ 18 and < 25 Years,"American Samoa, South Pacific",-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,Mississippi,37.02%,13.58%,101288
,Alabama,34.55%,14.71%,22062
,West Virginia,36.88%,15.42%,62394
,Kentucky,35.18%,17.66%,168158
,Nebraska,27.66%,9.07%,56579
,Indiana,32.73%,13.80%,166770
,Ohio,30.46%,15.15%,568158
,Virgin Islands,35.09%,-,57
,Maryland,28.43%,13.44%,94076
,Kansas,28.60%,12.06%,55430
,Missouri,30.92%,14.10%,61818
,Louisiana,31.88%,13.44%,147627
,South Carolina,31.00%,13.12%,199584
,Tennessee,34.03%,13.50%,77121
,Iowa,30.45%,13.45%,126105
,Oklahoma,34.96%,13.05%,68756
,North Carolina,30.08%,14.30%,366206
,Virginia,28.42%,11.50%,239957
,Pennsylvania,26.97%,12.24%,426066
,Michigan,27.79%,12.63%,325817
,Delaware,33.52%,17.01%,27198
,Puerto Rico,32.17%,25.43%,6320
,Illinois,29.12%,13.18%,334526
,Arkansas,35.69%,16.27%,53393
,Northern Mariana Islands,-,-,10 or fewer
,New Jersey,26.13%,11.27%,165995
,Wisconsin,26.43%,10.92%,206704
,Minnesota,25.56%,13.54%,153676
,Connecticut,24.32%,13.14%,155917
,Georgia,28.62%,12.78%,183583
,North Dakota,25.89%,14.28%,45064
,New York,25.73%,12.37%,363962
,Maine,25.79%,10.94%,37992
,New Mexico,29.06%,12.96%,11740
,Texas,31.41%,15.24%,627573
,Florida,27.20%,14.32%,437047
,Marshall Islands,-,-,10 or fewer
,Guam,-,-,17
,Wyoming,26.06%,8.21%,9435
,Idaho,26.38%,11.53%,58988
,New Hampshire,23.07%,9.13%,31199
,Armed Forces America,-,-,10 or fewer
,Arizona,23.87%,10.55%,91756
,Montana,22.10%,6.67%,25276
,Massachusetts,22.51%,14.50%,220415
,South Dakota,23.63%,10.55%,30120
,District of Columbia,21.11%,8.87%,6470
,Oregon,24.38%,9.89%,125776
,Vermont,20.45%,6.98%,20495
