Session Title,DM in ICD10  by State Age 2018,,,
Session ID,2775702,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Has Any Encounters?,Base Patient,,
Session Date Range,1/1/2018 - 12/31/2018,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/12/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,State of Residence (U.S.),,,
Less than 18 Years,Marshall Islands,-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,15
,Federated States of Micronesia,-,-,10 or fewer
,Alabama,0.80%,1.05%,23606
,South Carolina,0.56%,0.68%,308632
,Ohio,0.28%,0.50%,950654
,Missouri,0.23%,0.48%,59400
,Puerto Rico,-,-,378
,Kentucky,0.31%,0.53%,310319
,Oklahoma,0.18%,0.37%,112613
,Michigan,0.47%,0.64%,500864
,Virginia,0.38%,0.64%,404322
,Indiana,0.20%,0.37%,389351
,Kansas,0.40%,0.62%,81754
,North Carolina,0.39%,0.60%,570708
,Louisiana,0.32%,0.43%,266457
,Maine,0.63%,0.71%,86539
,Mississippi,0.60%,0.78%,195019
,Virgin Islands,-,-,89
,Arizona,0.35%,0.56%,62626
,Wyoming,0.35%,0.62%,20114
,Maryland,0.59%,0.81%,112712
,Illinois,0.33%,0.47%,846463
,Minnesota,0.29%,0.44%,402794
,Wisconsin,0.43%,0.54%,606858
,Hawaii,0.43%,0.47%,71562
,Pennsylvania,0.20%,0.41%,652657
,New York,0.40%,0.53%,545960
,Tennessee,0.56%,0.84%,97940
,Arkansas,0.81%,0.92%,147390
,Nebraska,0.26%,0.48%,55503
,Rhode Island,0.48%,0.64%,84522
,Iowa,0.54%,0.63%,287796
,Oregon,0.58%,0.70%,306570
,Alaska,-,-,2049
,Idaho,0.62%,0.73%,111131
,Delaware,0.53%,0.61%,98964
,Georgia,0.43%,0.80%,528312
,South Dakota,0.41%,0.51%,79445
,Massachusetts,0.25%,0.44%,299781
,New Hampshire,0.71%,0.80%,78983
,Guam,-,-,32
,North Dakota,0.33%,0.46%,105362
,Texas,0.43%,0.59%,1776928
,New Jersey,0.40%,0.52%,113801
,Washington,0.28%,0.41%,174229
,Montana,0.33%,0.45%,29729
,Vermont,1.09%,1.22%,28029
,New Mexico,0.13%,0.36%,15090
,Nevada,0.41%,0.57%,81209
,California,0.35%,0.65%,571853
,Florida,0.74%,1.03%,551917
,Colorado,0.34%,0.59%,381633
,Utah,0.09%,0.30%,104756
,Connecticut,0.57%,0.74%,311227
,West Virginia,0.84%,1.30%,86897
,Armed Forces Pacific,-,-,114
,Armed Forces Africa,-,-,171
,District of Columbia,-,1.17%,1457
,None of the above,0.45%,0.73%,179244
,Total,0.41%,0.60%,14274556
≥ 18 and < 25 Years,Marshall Islands,-,-,10 or fewer
,Northern Mariana Islands,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,10 or fewer
,Federated States of Micronesia,-,-,10 or fewer
,Alabama,1.88%,2.59%,11160
,South Carolina,1.53%,2.22%,99693
,Ohio,1.05%,1.83%,443069
,Missouri,1.31%,2.15%,36926
,Puerto Rico,-,-,179
,Kentucky,1.07%,1.93%,118371
,Oklahoma,0.82%,1.62%,41342
,Michigan,1.15%,1.75%,217434
,Virginia,1.06%,1.77%,183085
,Indiana,1.07%,1.75%,144949
,Kansas,1.59%,2.53%,33682
,North Carolina,0.96%,1.70%,236126
,Louisiana,1.00%,1.69%,96459
,Maine,1.45%,1.86%,32408
,Mississippi,1.36%,2.09%,67530
,Virgin Islands,-,-,49
,Arizona,0.86%,1.61%,37510
,Wyoming,1.32%,1.96%,5667
,Maryland,1.07%,1.94%,64252
,Illinois,1.03%,1.39%,277848
,Minnesota,1.03%,1.48%,149193
,Wisconsin,1.09%,1.50%,191876
,Hawaii,0.95%,1.43%,25044
,Pennsylvania,0.77%,1.51%,326152
,New York,0.96%,1.49%,244832
,Tennessee,1.09%,2.17%,48102
,Arkansas,1.47%,2.51%,41995
,Nebraska,1.32%,1.88%,36804
,Rhode Island,1.12%,1.77%,35757
,Iowa,1.29%,1.75%,103896
