Session Title,DM in ICD10 and HbA1c 6.5+ by County Age 2025,,,
Session ID,2780413,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Country of Residence: United States of America,State of Residence: States KY_NC,Has Any Encounters?,Base Patient
Session Date Range,1/1/2025 - 11/12/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/25/2025,,,
,,,,
,,,,
,Measures,A1c 6.5+ (%),DM (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"VANCE, NC",1.90%,2.00%,2105
,"BERTIE, NC",-,0.78%,2055
,"SHELBY, MO",-,-,10 or fewer
,"WASHINGTON, NC",-,0.92%,1311
,"MARTIN, NC",0.94%,1.26%,1909
,"LENOIR, NC",1.19%,1.43%,4893
,"BLADEN, NC",1.14%,1.39%,3963
,"DONA ANA, NM",-,-,533
,"CLEVELAND, NC",-,0.40%,2761
,"WARREN, NC",-,2.09%,621
,"PERRY, MS",0.53%,-,2059
,"WEBSTER, MS",-,-,1399
,"JEFFERSON DAVIS, MS",-,-,1163
,"HERTFORD, NC",0.87%,1.01%,2762
,"CLAY, MS",0.49%,0.73%,2874
,"GRANVILLE, NC",0.71%,0.82%,5474
,"YAZOO, MS",0.78%,1.08%,2317
,"WILSON, NC",1.12%,1.46%,4117
,"YADKIN, NC",-,0.32%,3487
,"WALTHALL, MS",-,1.26%,1108
,"MCDOWELL, NC",-,-,2504
,"SOMERSET, MD",-,1.32%,1443
,"MERCER, MO",-,-,338
,"ANDERSON, KY",0.50%,0.64%,2981
,"TREASURE, MT",-,-,32
,"PENDLETON, KY",-,-,2459
,"MONTGOMERY, MS",-,-,883
,"KEMPER, MS",1.42%,1.54%,846
,"BEAUFORT, NC",0.58%,0.86%,4298
,"EDGECOMBE, NC",0.76%,1.24%,6717
,"CHOCTAW, MS",-,-,506
,"ALAMANCE, NC",0.62%,0.87%,20243
,"ROBESON, NC",0.82%,1.26%,10760
,"LAWRENCE, MS",0.91%,0.91%,1206
,"POWELL, KY",-,-,505
,"GATES, NC",-,-,789
,"GRUNDY, MO",-,-,1284
,"IRON, MO",-,-,215
,"STOKES, NC",-,0.29%,5223
,"SCHOHARIE, NY",0.44%,0.58%,3433
,"ESTILL, KY",0.79%,1.07%,1399
,"LUNA, NM",-,-,85
,"FREEBORN, MN",-,-,242
,"HINDS, MS",0.71%,0.89%,19566
,"KEYA PAHA, NE",-,-,15
,"MADISON, NC",-,-,1146
,"RIPLEY, MO",-,-,770
,"NEWTON, MS",0.64%,0.91%,1866
,"COVINGTON, MS",0.78%,0.78%,2577
,"SAMPSON, NC",0.94%,1.43%,3284
,"HOLMES, MS",0.75%,1.32%,1740
,"NESHOBA, MS",1.13%,1.36%,2205
,"MARION, MS",0.66%,0.69%,3477
,"NANCE, NE",-,-,95
,"SURRY, NC",0.25%,0.41%,4416
,"GALLATIN, KY",-,-,1252
,"ORLEANS, NY",0.56%,0.77%,3378
,"CHOWAN, NC",-,0.73%,2068
,"HUMPHREYS, MS",-,-,464
,"WAYNE, NC",0.84%,1.22%,8532
,"SPENCER, KY",0.57%,0.62%,2107
,"LEAKE, MS",0.81%,0.77%,2483
,"SCOTT, MS",0.68%,0.84%,1911
,"SAINT FRANCOIS, MO",-,-,1261
,"KNOX, KY",0.85%,1.25%,3043
,"CLARKE, MS",-,-,1820
,"HOWARD, MO",-,-,10 or fewer
,"WASHINGTON, MD",0.24%,0.62%,16875
,"PIKE, MS",1.27%,1.32%,2198
,"GRANT, KY",0.34%,0.40%,5804
,"CHICKASAW, MS",0.67%,0.72%,1951
,"QUITMAN, MS",-,-,103
,"WORTH, MO",-,-,196
,"LEFLORE, MS",0.69%,0.69%,2883
,"NELSON, KY",0.82%,1.12%,3043
,"HYDE, NC",-,-,267
,"RUTHERFORD, NC",-,-,954
,"MISSISSIPPI, MO",-,-,1897
,"CASWELL, NC",-,1.07%,1311
,"DAVIDSON, NC",0.14%,0.40%,10077
,"MCKINLEY, NM",-,-,56
,"ST JOHN THE BAPTIST, LA",-,0.33%,3284
,"FRANKLIN, KY",0.31%,0.50%,7148
,"THURSTON, NE",-,-,147
,"IBERVILLE, LA",0.40%,0.45%,4042
,"UNION, KY",-,0.54%,2220
,"LAUREL, KY",0.73%,0.89%,3708
,"SULLIVAN, MO",-,-,82
,"CLAY, KY",1.05%,1.45%,3713
,"WASHINGTON, MO",-,-,142
,"LESLIE, KY",-,-,1259
,"SENECA, NY",0.50%,0.64%,2987
,"ELKO, NV",1.00%,2.45%,2200
,"BIG HORN, MT",-,4.38%,274
,"LARUE, KY",-,0.57%,1921
,"JEFFERSON, NY",-,-,628
,"DAVIE, NC",-,-,3327
,"FRANKLIN, NC",0.75%,0.86%,7459
,"COPIAH, MS",1.28%,1.80%,1169
,"PEARL RIVER, MS",0.36%,0.50%,8369
,"TYRRELL, NC",-,-,380
,"HERKIMER, NY",0.24%,0.53%,7028
,"WAYNE, NY",0.38%,0.55%,14970
,"LIVINGSTON, MO",-,-,1730
,"ROWAN, NC",0.38%,0.61%,9042
,"NORTHAMPTON, NC",-,0.93%,1499
,"MEADE, KY",0.47%,0.69%,2751
,"BOYD, NE",-,-,37
,"WAYNE, MO",-,-,1370
,"WILKES, NC",-,-,1444
,"HOLT, MO",-,-,267
,"LAKE, MI",-,-,798
,"REYNOLDS, MO",-,-,355
,"AITKIN, MN",-,-,1546
,"WHITLEY, KY",0.36%,0.58%,6343
,"WASHINGTON, LA",-,0.41%,4186
,"CARROLL, MS",-,-,950
,"TRIMBLE, KY",-,-,728
,"JASPER, MS",1.53%,1.88%,850
,"DELAWARE, NY",0.36%,0.55%,6196
,"MERRICK, NE",-,-,785
,"CHENANGO, NY",-,0.44%,8099
,"HARRISON, MO",-,-,197
,"CALDWELL, NC",0.14%,0.39%,10424
,"PASQUOTANK, NC",-,0.38%,4212
,"GREENE, NC",-,1.04%,1342
,"OTSEGO, NY",0.31%,0.44%,8693
,"LIVINGSTON, NY",0.44%,0.53%,7665
,"LAUDERDALE, MS",0.46%,0.54%,9178
,"BRUNSWICK, NC",0.66%,0.88%,8977
,"AROOSTOOK, ME",-,-,2932
,"GENESEE, NY",0.35%,0.49%,7097
,"OSCEOLA, MI",-,-,2923
,"HAMILTON, NY",-,-,99
,"HARNETT, NC",1.12%,1.38%,10828
,"KENT, MD",-,-,1193
,"CALHOUN, MS",-,-,1518
,"COLUMBUS, NC",1.35%,1.80%,1996
,"BULLITT, KY",0.48%,0.55%,14259
,"GASTON, NC",0.36%,0.45%,11300
,"HALL, NE",-,0.93%,1502
,"LOWNDES, MS",0.45%,0.75%,6408
,"PRENTISS, MS",0.47%,0.62%,2754
,"JONES, NC",-,-,269
,"AMITE, MS",-,-,440
,"DEKALB, MO",-,-,437
,"ALLEGANY, NY",0.47%,0.63%,4632
,"POINTE COUPEE, LA",-,-,2647
,"PIKE, KY",0.73%,0.80%,6741
,"RANKIN, MS",0.73%,0.82%,12393
,"ITASCA, MN",0.44%,0.57%,7210
,"FRANKLIN, ME",0.64%,0.77%,2985
,"HENDERSON, KY",0.37%,0.42%,7572
,"FULTON, KY",-,-,541
,"SIMPSON, MS",-,0.83%,1568
,"OWEN, KY",-,-,1087
,"TUNICA, MS",-,-,292
,"GENTRY, MO",-,-,572
,"HARRISON, KY",-,-,756
,"DAVIESS, MO",-,-,291
,"MARSHALL, KY",-,0.41%,4183
,"HALIFAX, NC",0.97%,1.34%,4621
,"BOONE, KY",0.47%,0.57%,22988
,"CASS, MI",0.45%,0.52%,4430
,"BUTLER, MO",-,0.47%,5739
,"MONROE, NY",0.47%,0.56%,105294
,"LAFAYETTE, MO",-,-,304
,"HILLSDALE, MI",0.34%,0.58%,3272
,"LENAWEE, MI",0.26%,0.55%,11534
,"MONTGOMERY, NY",-,-,1612
,"KENTON, KY",0.44%,0.60%,23725
,"JONES, MS",0.84%,0.98%,4394
,"WORCESTER, MD",0.92%,1.35%,2295
,"STEUBEN, NY",0.43%,0.51%,15230
,"NICHOLAS, KY",-,-,265
,"MUSSELSHELL, MT",-,-,95
,"PERQUIMANS, NC",-,-,1383
,"CLINTON, MO",-,-,419
,"ESMERALDA, NV",-,-,10 or fewer
,"ROCKINGHAM, NC",0.27%,0.64%,10816
,"SCOTT, KY",1.08%,1.30%,2684
,"BRANCH, MI",0.24%,0.37%,4552
,"PERSON, NC",0.77%,1.00%,3615
,"MERCER, KY",1.55%,1.75%,969
,"COAHOMA, MS",3.32%,4.86%,391
,"BENTON, MO",-,-,28
,"HENRY, KY",0.38%,0.52%,2859
,"OCEANA, MI",-,0.26%,4962
,"SMITH, MS",-,-,917
,"BERRIEN, MI",0.49%,0.63%,20246
,"PISCATAQUIS, ME",-,-,171
,"YATES, NY",0.45%,0.58%,2427
,"JEFFERSON, MS",-,-,159
,"CAROLINE, MD",0.38%,0.59%,3704
,"ANSON, NC",-,-,962
,"SCOTTS BLUFF, NE",-,0.52%,3433
,"JACKSON, MO",0.12%,0.35%,11504
,"CUMBERLAND, NC",0.82%,1.27%,26978
,"CAMPBELL, KY",0.47%,0.60%,12383
