Session Title,"Opioid OD Heat Firearms in ED, State Month Age",,,,,,
Session ID,2776087,,,,,,
Data Model,Patients,,,,,,
Population Base,All Patients,,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,,
Session Date Range,1/1/2025 - 10/30/2025,,,,,,
Measure,Number of Patients,,,,,,
Export User,Stephanie Perniciaro,,,,,,
Date of Export,11/12/2025,,,,,,
,,,,,,,
,,,,,,,
,,,Diagnosis (Encounter),OPIOID OD,Heat,firearms initial,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,,
Texas,Less than 15 Years,2025,Jan,10 or fewer,10 or fewer,10 or fewer,72189
,,,Feb,10 or fewer,10 or fewer,10 or fewer,65444
,,,Mar,10 or fewer,10 or fewer,10 or fewer,68111
,,,Apr,10 or fewer,14,10 or fewer,69094
,,,May,10 or fewer,37,10 or fewer,67832
,,,Jun,10 or fewer,42,10 or fewer,52382
,,,Jul,10 or fewer,39,10 or fewer,49317
,,,Aug,10 or fewer,47,10 or fewer,59868
,,,Sep,10 or fewer,29,10 or fewer,65369
,,,Oct 1 – Oct 30,10 or fewer,17,10 or fewer,51264
,≥ 15 and < 25 Years,2025,Jan,10 or fewer,10 or fewer,80,42686
,,,Feb,10 or fewer,10 or fewer,65,38053
,,,Mar,15,10 or fewer,77,41569
,,,Apr,18,21,104,41369
,,,May,21,60,83,41226
,,,Jun,21,142,87,38109
,,,Jul,32,185,116,39357
,,,Aug,21,167,88,41620
,,,Sep,16,75,52,42803
,,,Oct 1 – Oct 30,10 or fewer,36,44,30551
,≥ 25 and < 45 Years,2025,Jan,41,10 or fewer,92,91955
,,,Feb,49,10 or fewer,89,81608
,,,Mar,63,22,94,89865
,,,Apr,69,46,107,88388
,,,May,118,136,85,91225
,,,Jun,110,337,94,89191
,,,Jul,78,407,84,91946
,,,Aug,63,343,82,92120
,,,Sep,61,161,89,91213
,,,Oct 1 – Oct 30,48,41,42,64873
,≥ 45 and < 65 Years,2025,Jan,26,10 or fewer,29,74821
,,,Feb,26,10 or fewer,24,68479
,,,Mar,39,23,30,74880
,,,Apr,40,21,26,73315
,,,May,39,104,29,76143
,,,Jun,31,273,28,74331
,,,Jul,32,281,22,75955
,,,Aug,33,314,19,76085
,,,Sep,35,114,24,74481
,,,Oct 1 – Oct 30,23,38,19,52390
,65 Years or more,2025,Jan,23,11,11,77312
,,,Feb,25,13,10 or fewer,71072
,,,Mar,25,16,10 or fewer,78128
,,,Apr,25,28,15,75085
,,,May,27,93,13,78549
,,,Jun,26,172,13,75476
,,,Jul,28,225,14,76333
,,,Aug,22,226,13,77381
,,,Sep,21,88,10 or fewer,75012
,,,Oct 1 – Oct 30,15,26,10 or fewer,50922
,No value,2025,Jan,10 or fewer,10 or fewer,10 or fewer,11133
,,,Feb,10 or fewer,10 or fewer,10 or fewer,12031
,,,Mar,10 or fewer,10 or fewer,10 or fewer,11068
,,,Apr,10 or fewer,10 or fewer,10 or fewer,11466
,,,May,10 or fewer,10 or fewer,11,10837
,,,Jun,10 or fewer,10 or fewer,10 or fewer,10551
,,,Jul,10 or fewer,10 or fewer,14,10480
,,,Aug,10 or fewer,10 or fewer,10 or fewer,10002
,,,Sep,10 or fewer,10 or fewer,10 or fewer,9976
,,,Oct 1 – Oct 30,10 or fewer,10 or fewer,10 or fewer,11271
,"Total: Total includes all data under the Texas bucket, including data from rows not currently displayed.",2025,Jan,103,28,229,370052
,,,Feb,111,31,199,336644
,,,Mar,146,77,221,363571
,,,Apr,154,131,268,358683
,,,May,208,429,228,365763
,,,Jun,191,967,238,339998
,,,Jul,170,1139,256,343329
,,,Aug,140,1101,218,357018
,,,Sep,136,467,188,358800
,,,Oct 1 – Oct 30,91,158,122,261249
Florida,Less than 15 Years,2025,Jan,10 or fewer,10 or fewer,10 or fewer,66423
,,,Feb,10 or fewer,10 or fewer,10 or fewer,62313
,,,Mar,10 or fewer,10 or fewer,10 or fewer,62673
,,,Apr,10 or fewer,10 or fewer,10 or fewer,61027
,,,May,10 or fewer,21,10 or fewer,60422
,,,Jun,10 or fewer,41,10 or fewer,47277
,,,Jul,10 or fewer,45,10 or fewer,44990
,,,Aug,10 or fewer,34,10 or fewer,53845
,,,Sep,10 or fewer,27,10 or fewer,59155
,,,Oct 1 – Oct 30,10 or fewer,14,10 or fewer,45645
,≥ 15 and < 25 Years,2025,Jan,10 or fewer,10 or fewer,35,40974
,,,Feb,12,10 or fewer,31,36605
,,,Mar,11,10 or fewer,32,38662
,,,Apr,12,25,33,38288
,,,May,10 or fewer,59,35,38163
,,,Jun,10 or fewer,73,58,34414
,,,Jul,10 or fewer,122,44,35604
,,,Aug,10 or fewer,93,31,37742
,,,Sep,12,42,40,38681
,,,Oct 1 – Oct 30,10 or fewer,10 or fewer,19,27978
,≥ 25 and < 45 Years,2025,Jan,91,10 or fewer,40,90837
,,,Feb,80,15,58,81153
,,,Mar,87,19,48,87840
,,,Apr,90,59,53,86487
,,,May,120,165,51,89685
,,,Jun,102,177,38,85231
,,,Jul,80,263,54,87858
,,,Aug,87,210,51,88283
,,,Sep,71,90,50,86413
,,,Oct 1 – Oct 30,53,13,36,61251
,≥ 45 and < 65 Years,2025,Jan,63,10 or fewer,17,76368
,,,Feb,46,12,15,70439
,,,Mar,68,14,19,74911
,,,Apr,61,49,16,72646
,,,May,75,113,20,76030
,,,Jun,69,124,20,72693
,,,Jul,58,232,14,74430
