Session Title,"Opioid OD Heat Firearms in ED, State Month Age",,,,,,
Session ID,2776114,,,,,,
Data Model,Patients,,,,,,
Population Base,All Patients,,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,,
Session Date Range,1/1/2018 - 12/31/2018,,,,,,
Measure,Number of Patients,,,,,,
Export User,Stephanie Perniciaro,,,,,,
Date of Export,11/13/2025,,,,,,
,,,,,,,
,,,,,,,
,,,Diagnosis (Encounter),OPIOID OD,Heat,firearms initial,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,,
Ohio,Less than 15 Years,2018,Jan,10 or fewer,10 or fewer,10 or fewer,43096
,,,Feb,10 or fewer,12,10 or fewer,41762
,,,Mar,10 or fewer,10 or fewer,10 or fewer,37568
,,,Apr,10 or fewer,10 or fewer,10 or fewer,35515
,,,May,10 or fewer,15,10 or fewer,37777
,,,Jun,10 or fewer,21,10 or fewer,31451
,,,Jul,10 or fewer,19,10 or fewer,32360
,,,Aug,10 or fewer,18,10 or fewer,33820
,,,Sep,10 or fewer,10 or fewer,10 or fewer,36588
,,,Oct,10 or fewer,10 or fewer,10 or fewer,37129
,,,Nov,10 or fewer,10 or fewer,10 or fewer,35442
,,,Dec,10 or fewer,10 or fewer,10 or fewer,40639
,≥ 15 and < 25 Years,2018,Jan,51,10 or fewer,47,32867
,,,Feb,48,10 or fewer,47,29449
,,,Mar,70,10 or fewer,54,30331
,,,Apr,55,10 or fewer,46,30391
,,,May,68,31,53,31085
,,,Jun,60,57,64,29792
,,,Jul,77,68,72,30792
,,,Aug,71,30,49,31727
,,,Sep,74,27,34,32573
,,,Oct,71,10 or fewer,54,31978
,,,Nov,65,10 or fewer,46,30124
,,,Dec,55,10 or fewer,36,30682
,≥ 25 and < 45 Years,2018,Jan,323,10 or fewer,71,69311
,,,Feb,337,10 or fewer,58,61782
,,,Mar,387,10 or fewer,50,65132
,,,Apr,335,10 or fewer,62,64480
,,,May,413,64,92,67596
,,,Jun,406,112,94,65703
,,,Jul,492,129,66,68899
,,,Aug,519,86,70,68940
,,,Sep,417,69,78,67971
,,,Oct,353,10 or fewer,83,66496
,,,Nov,281,10 or fewer,63,62533
,,,Dec,354,10 or fewer,89,65606
,≥ 45 and < 65 Years,2018,Jan,99,10 or fewer,13,57472
,,,Feb,101,10 or fewer,20,50796
,,,Mar,121,10 or fewer,13,53497
,,,Apr,109,10 or fewer,16,52702
,,,May,114,46,30,55044
,,,Jun,131,98,22,54057
,,,Jul,156,103,22,55723
,,,Aug,131,53,26,55646
,,,Sep,134,50,24,54157
,,,Oct,120,10 or fewer,19,53328
,,,Nov,97,10 or fewer,21,49983
,,,Dec,111,10 or fewer,18,53517
,65 Years or more,2018,Jan,22,10 or fewer,10 or fewer,44941
,,,Feb,13,10 or fewer,10 or fewer,39179
,,,Mar,17,10 or fewer,10 or fewer,42189
,,,Apr,14,10 or fewer,10 or fewer,41724
,,,May,19,39,10 or fewer,43941
,,,Jun,16,69,10 or fewer,42664
,,,Jul,25,67,10 or fewer,43636
,,,Aug,23,37,10 or fewer,42775
,,,Sep,10 or fewer,37,10 or fewer,41519
,,,Oct,18,11,10 or fewer,42400
,,,Nov,16,10 or fewer,10 or fewer,40623
,,,Dec,13,10 or fewer,10 or fewer,44235
,No value,2018,Jan,10 or fewer,10 or fewer,10 or fewer,5161
,,,Feb,10 or fewer,10 or fewer,10 or fewer,5311
,,,Mar,10 or fewer,10 or fewer,10 or fewer,5031
,,,Apr,10 or fewer,10 or fewer,10 or fewer,4739
,,,May,10 or fewer,10 or fewer,10 or fewer,4921
,,,Jun,10 or fewer,10 or fewer,10 or fewer,4909
