Session Title,"Opioid OD Heat Firearms in ED, State Month Age",,,,,,
Session ID,2776111,,,,,,
Data Model,Patients,,,,,,
Population Base,All Patients,,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,,
Session Date Range,1/1/2021 - 12/31/2021,,,,,,
Measure,Number of Patients,,,,,,
Export User,Stephanie Perniciaro,,,,,,
Date of Export,11/13/2025,,,,,,
,,,,,,,
,,,,,,,
,,,Diagnosis (Encounter),OPIOID OD,Heat,firearms initial,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence (U.S.),Age at Encounter in Years,Year,Month,,,,
Texas,Less than 15 Years,2021,Jan,10 or fewer,10 or fewer,10 or fewer,30903
,,,Feb,10 or fewer,10 or fewer,10 or fewer,28131
,,,Mar,10 or fewer,10 or fewer,10 or fewer,38551
,,,Apr,10 or fewer,10 or fewer,10 or fewer,47401
,,,May,10 or fewer,10 or fewer,10 or fewer,49905
,,,Jun,10 or fewer,34,11,49762
,,,Jul,10 or fewer,31,16,53507
,,,Aug,10 or fewer,24,10 or fewer,57775
,,,Sep,10 or fewer,18,10 or fewer,58847
,,,Oct,10 or fewer,10 or fewer,10 or fewer,56666
,,,Nov,10 or fewer,10 or fewer,10 or fewer,60168
,,,Dec,10 or fewer,10 or fewer,10 or fewer,62281
,≥ 15 and < 25 Years,2021,Jan,21,10 or fewer,69,24495
,,,Feb,17,10 or fewer,46,20417
,,,Mar,25,10 or fewer,62,25701
,,,Apr,13,10 or fewer,72,28073
,,,May,17,10 or fewer,77,28553
,,,Jun,20,96,82,27881
,,,Jul,23,77,69,29936
,,,Aug,16,70,61,32418
,,,Sep,22,47,77,31850
,,,Oct,11,12,75,30587
,,,Nov,14,10 or fewer,67,29615
,,,Dec,14,10 or fewer,65,34124
,≥ 25 and < 45 Years,2021,Jan,48,10 or fewer,90,53408
,,,Feb,41,10 or fewer,74,44604
,,,Mar,48,10 or fewer,70,53558
,,,Apr,46,10 or fewer,58,55931
,,,May,46,27,96,57935
,,,Jun,47,226,89,58672
,,,Jul,64,203,93,64030
,,,Aug,60,160,88,67577
,,,Sep,48,83,77,63758
,,,Oct,53,16,112,59806
,,,Nov,43,10 or fewer,80,57386
,,,Dec,50,10 or fewer,84,69023
,≥ 45 and < 65 Years,2021,Jan,25,10 or fewer,20,46797
,,,Feb,18,10 or fewer,10 or fewer,40202
,,,Mar,20,10 or fewer,13,45158
,,,Apr,27,10 or fewer,27,45467
,,,May,21,16,34,47761
,,,Jun,26,183,30,48714
,,,Jul,16,172,20,52406
,,,Aug,24,136,24,54436
,,,Sep,23,64,22,51201
,,,Oct,23,16,34,49188
,,,Nov,33,10 or fewer,35,47012
,,,Dec,16,10 or fewer,29,55011
,65 Years or more,2021,Jan,10 or fewer,10 or fewer,10 or fewer,40548
,,,Feb,10 or fewer,10 or fewer,10 or fewer,35826
,,,Mar,12,10 or fewer,10 or fewer,38901
,,,Apr,11,10 or fewer,10 or fewer,38479
,,,May,20,19,10 or fewer,40205
,,,Jun,13,103,10 or fewer,41389
,,,Jul,22,115,10 or fewer,43661
,,,Aug,10 or fewer,78,11,42123
,,,Sep,13,37,10 or fewer,41634
,,,Oct,12,10 or fewer,10 or fewer,43047
,,,Nov,12,10 or fewer,10 or fewer,43303
,,,Dec,20,10 or fewer,10 or fewer,48934
,No value,2021,Jan,10 or fewer,10 or fewer,10 or fewer,8016
,,,Feb,10 or fewer,10 or fewer,10 or fewer,8520
,,,Mar,10 or fewer,10 or fewer,10 or fewer,7873
,,,Apr,10 or fewer,10 or fewer,10 or fewer,7113
,,,May,10 or fewer,10 or fewer,10 or fewer,6899
,,,Jun,10 or fewer,10 or fewer,13,7268
,,,Jul,10 or fewer,10 or fewer,10 or fewer,7416
,,,Aug,10 or fewer,10 or fewer,10 or fewer,8563
,,,Sep,10 or fewer,10 or fewer,10 or fewer,9539
,,,Oct,10 or fewer,10 or fewer,10 or fewer,9023
,,,Nov,10 or fewer,10 or fewer,10 or fewer,7977
,,,Dec,10 or fewer,10 or fewer,10 or fewer,8529
,"Total: Total includes all data under the Texas bucket, including data from rows not currently displayed.",2021,Jan,102,10 or fewer,195,204146
,,,Feb,85,10 or fewer,150,177689
,,,Mar,105,18,168,209723
,,,Apr,97,25,178,222449
,,,May,104,74,232,231231
,,,Jun,107,642,233,233667
,,,Jul,125,598,217,250938
,,,Aug,106,469,196,262868
,,,Sep,106,249,192,256799
,,,Oct,101,56,239,248293
,,,Nov,102,10 or fewer,204,245437
,,,Dec,101,13,194,277875
Ohio,Less than 15 Years,2021,Jan,10 or fewer,10 or fewer,10 or fewer,19377
,,,Feb,10 or fewer,10 or fewer,10 or fewer,18402
,,,Mar,10 or fewer,10 or fewer,10 or fewer,26136
,,,Apr,10 or fewer,10 or fewer,10 or fewer,28448
,,,May,10 or fewer,10 or fewer,10 or fewer,32021
,,,Jun,10 or fewer,18,10 or fewer,31059
,,,Jul,10 or fewer,15,10 or fewer,34472
,,,Aug,10 or fewer,15,10 or fewer,41583
,,,Sep,10 or fewer,10 or fewer,10 or fewer,46037
,,,Oct,10 or fewer,10 or fewer,10 or fewer,38855
,,,Nov,10 or fewer,10 or fewer,10 or fewer,38623
,,,Dec,10 or fewer,10 or fewer,10 or fewer,42187
,≥ 15 and < 25 Years,2021,Jan,44,10 or fewer,79,25414
,,,Feb,41,10 or fewer,58,22689
,,,Mar,43,10 or fewer,50,27697
,,,Apr,35,10 or fewer,71,29617
,,,May,45,14,89,30189
,,,Jun,47,34,95,30280
,,,Jul,52,36,105,31534
,,,Aug,44,64,102,34564
,,,Sep,41,15,84,36281
,,,Oct,33,10 or fewer,88,33697
,,,Nov,37,10 or fewer,64,32816
,,,Dec,37,10 or fewer,71,36441
,≥ 25 and < 45 Years,2021,Jan,299,10 or fewer,103,57659
,,,Feb,264,10 or fewer,64,51217
,,,Mar,311,10 or fewer,115,60361
,,,Apr,323,10 or fewer,88,63543
,,,May,325,29,122,65709
,,,Jun,285,92,134,65920
,,,Jul,349,70,152,69919
,,,Aug,308,92,129,73963
,,,Sep,311,17,121,72634
,,,Oct,307,10 or fewer,109,70028
,,,Nov,264,10 or fewer,82,69146
,,,Dec,270,10 or fewer,84,80138
,≥ 45 and < 65 Years,2021,Jan,95,10 or fewer,22,48393
,,,Feb,83,10 or fewer,24,43210
,,,Mar,130,10 or fewer,29,50582
,,,Apr,138,10 or fewer,30,52511
,,,May,115,24,20,54985
,,,Jun,126,67,23,55213
,,,Jul,154,50,28,57814
,,,Aug,143,87,28,61200
,,,Sep,114,12,36,59564
,,,Oct,112,10 or fewer,28,59285
,,,Nov,112,10 or fewer,27,58862
,,,Dec,109,10 or fewer,27,65971
,65 Years or more,2021,Jan,16,10 or fewer,10 or fewer,42929
,,,Feb,17,10 or fewer,10 or fewer,37083
,,,Mar,18,10 or fewer,10 or fewer,44136
,,,Apr,22,10 or fewer,12,45067
,,,May,17,26,10 or fewer,47307
,,,Jun,26,56,13,48064
,,,Jul,29,63,10 or fewer,50177
,,,Aug,18,62,10 or fewer,51207
,,,Sep,21,18,10 or fewer,50259
,,,Oct,23,10 or fewer,13,52929
,,,Nov,14,10 or fewer,10 or fewer,53077
,,,Dec,17,10 or fewer,10 or fewer,57952
,No value,2021,Jan,10 or fewer,10 or fewer,10 or fewer,5609
,,,Feb,10 or fewer,10 or fewer,10 or fewer,5609
,,,Mar,10 or fewer,10 or fewer,10 or fewer,5126
,,,Apr,10 or fewer,10 or fewer,10 or fewer,5221
,,,May,10 or fewer,10 or fewer,10 or fewer,5481
,,,Jun,10 or fewer,10 or fewer,10 or fewer,5636
,,,Jul,10 or fewer,10 or fewer,10 or fewer,5473
,,,Aug,10 or fewer,10 or fewer,12,5523
,,,Sep,10 or fewer,10 or fewer,10 or fewer,6620
,,,Oct,10 or fewer,10 or fewer,10 or fewer,6513
,,,Nov,10 or fewer,10 or fewer,10 or fewer,6611
,,,Dec,10 or fewer,10 or fewer,10 or fewer,7619
,"Total: Total includes all data under the Ohio bucket, including data from rows not currently displayed.",2021,Jan,455,10 or fewer,228,199357
,,,Feb,406,10 or fewer,166,178192
,,,Mar,502,10 or fewer,217,214018
,,,Apr,520,17,210,224383
,,,May,502,99,253,235669
,,,Jun,483,267,283,236147
,,,Jul,586,234,313,249362
,,,Aug,512,320,286,268003
,,,Sep,489,68,255,271353
,,,Oct,474,16,255,261269
,,,Nov,427,10 or fewer,190,259111
,,,Dec,434,10 or fewer,202,290273
Pennsylvania,Less than 15 Years,2021,Jan,10 or fewer,10 or fewer,10 or fewer,9235
,,,Feb,10 or fewer,10 or fewer,10 or fewer,8971
,,,Mar,10 or fewer,10 or fewer,10 or fewer,14784
,,,Apr,10 or fewer,10 or fewer,10 or fewer,16945
,,,May,10 or fewer,10 or fewer,10 or fewer,19617
,,,Jun,10 or fewer,21,10 or fewer,19385
,,,Jul,10 or fewer,12,10 or fewer,20865
,,,Aug,10 or fewer,20,10 or fewer,21470
,,,Sep,10 or fewer,10 or fewer,10 or fewer,27122
,,,Oct,10 or fewer,10 or fewer,10 or fewer,25570
,,,Nov,10 or fewer,10 or fewer,10 or fewer,23423
,,,Dec,10 or fewer,10 or fewer,10 or fewer,25069
,≥ 15 and < 25 Years,2021,Jan,27,10 or fewer,47,14482
,,,Feb,17,10 or fewer,39,13011
,,,Mar,19,10 or fewer,54,17121
,,,Apr,21,10 or fewer,57,18456
,,,May,28,10 or fewer,76,19500
,,,Jun,27,34,74,19677
,,,Jul,33,38,90,20559
,,,Aug,20,41,66,20981
,,,Sep,23,11,62,22069
,,,Oct,27,10 or fewer,57,21464
,,,Nov,25,10 or fewer,68,19807
,,,Dec,18,10 or fewer,59,22050
,≥ 25 and < 45 Years,2021,Jan,122,10 or fewer,86,35412
,,,Feb,115,10 or fewer,46,32152
,,,Mar,140,10 or fewer,102,40527
,,,Apr,158,10 or fewer,73,43616
,,,May,156,17,88,44507
,,,Jun,160,89,100,45602
,,,Jul,188,69,124,48094
,,,Aug,149,61,97,49175
,,,Sep,133,10 or fewer,111,46821
,,,Oct,164,10 or fewer,111,45777
,,,Nov,148,10 or fewer,95,43806
,,,Dec,120,10 or fewer,104,49819
,≥ 45 and < 65 Years,2021,Jan,58,10 or fewer,17,32002
,,,Feb,53,10 or fewer,10 or fewer,29924
,,,Mar,74,10 or fewer,16,37496
,,,Apr,61,10 or fewer,18,39913
,,,May,77,15,15,39820
,,,Jun,89,78,22,40986
,,,Jul,93,70,24,43171
,,,Aug,57,54,24,43608
,,,Sep,61,10 or fewer,28,41471
,,,Oct,67,10 or fewer,30,41896
,,,Nov,50,10 or fewer,21,40237
,,,Dec,64,10 or fewer,17,43448
,65 Years or more,2021,Jan,12,10 or fewer,10 or fewer,33377
,,,Feb,15,10 or fewer,10 or fewer,30073
,,,Mar,16,10 or fewer,10 or fewer,37883
,,,Apr,13,10 or fewer,13,39050
,,,May,23,21,10 or fewer,39775
,,,Jun,12,66,14,41280
,,,Jul,24,69,10 or fewer,42921
,,,Aug,14,49,10 or fewer,43193
,,,Sep,14,10 or fewer,10 or fewer,41284
,,,Oct,14,10 or fewer,10 or fewer,43124
,,,Nov,14,10 or fewer,10 or fewer,42651
,,,Dec,19,10 or fewer,15,44609
,No value,2021,Jan,10 or fewer,10 or fewer,10 or fewer,5404
,,,Feb,10 or fewer,10 or fewer,10 or fewer,5005
,,,Mar,10 or fewer,10 or fewer,10 or fewer,5340
,,,Apr,10 or fewer,10 or fewer,10 or fewer,5617
,,,May,10 or fewer,10 or fewer,10 or fewer,5734
,,,Jun,10 or fewer,10 or fewer,10 or fewer,5549
,,,Jul,10 or fewer,10 or fewer,11,5505
,,,Aug,10 or fewer,10 or fewer,10 or fewer,5422
,,,Sep,10 or fewer,10 or fewer,10 or fewer,6295
,,,Oct,10 or fewer,10 or fewer,10 or fewer,6318
,,,Nov,10 or fewer,10 or fewer,11,6739
,,,Dec,10 or fewer,10 or fewer,10 or fewer,7164
,"Total: Total includes all data under the Pennsylvania bucket, including data from rows not currently displayed.",2021,Jan,219,10 or fewer,165,129892
,,,Feb,200,10 or fewer,106,119123
,,,Mar,252,10 or fewer,184,153135
,,,Apr,254,14,173,163581
,,,May,284,68,197,168940
,,,Jun,290,288,222,172459
,,,Jul,338,260,262,181097
,,,Aug,240,225,197,183824
,,,Sep,232,34,220,185045
,,,Oct,272,12,210,184132
,,,Nov,239,10 or fewer,204,176646
,,,Dec,225,10 or fewer,207,192136
North Carolina,Less than 15 Years,2021,Jan,10 or fewer,10 or fewer,10 or fewer,11063
,,,Feb,10 or fewer,10 or fewer,10 or fewer,10417
,,,Mar,10 or fewer,10 or fewer,10 or fewer,14117
,,,Apr,10 or fewer,10 or fewer,10 or fewer,16760
,,,May,10 or fewer,10 or fewer,10 or fewer,18940
,,,Jun,10 or fewer,10 or fewer,10 or fewer,18444
,,,Jul,10 or fewer,11,10 or fewer,20856
,,,Aug,10 or fewer,10 or fewer,10 or fewer,23114
,,,Sep,10 or fewer,10 or fewer,10 or fewer,24276
,,,Oct,10 or fewer,10 or fewer,10 or fewer,21398
,,,Nov,10 or fewer,10 or fewer,10 or fewer,20376
,,,Dec,10 or fewer,10 or fewer,10 or fewer,23792
,≥ 15 and < 25 Years,2021,Jan,32,10 or fewer,48,14797
,,,Feb,24,10 or fewer,52,13438
,,,Mar,35,10 or fewer,46,15731
,,,Apr,29,10 or fewer,44,17167
,,,May,27,10 or fewer,60,17919
,,,Jun,24,29,58,17651
,,,Jul,25,44,52,18725
,,,Aug,22,50,42,19836
,,,Sep,26,10 or fewer,58,19254
,,,Oct,26,10 or fewer,61,18236
,,,Nov,29,10 or fewer,42,17028
,,,Dec,22,10 or fewer,53,19148
,≥ 25 and < 45 Years,2021,Jan,116,10 or fewer,57,34758
,,,Feb,98,10 or fewer,66,30717
,,,Mar,119,10 or fewer,57,35612
,,,Apr,138,11,74,37493
,,,May,125,17,71,39664
,,,Jun,130,66,67,39923
,,,Jul,140,93,71,42453
,,,Aug,135,88,62,44598
,,,Sep,116,12,77,40163
,,,Oct,126,10 or fewer,70,37933
,,,Nov,109,10 or fewer,74,35701
,,,Dec,134,10 or fewer,53,42139
,≥ 45 and < 65 Years,2021,Jan,43,10 or fewer,11,30084
,,,Feb,38,10 or fewer,16,26800
,,,Mar,33,10 or fewer,17,30763
,,,Apr,35,10 or fewer,20,31341
,,,May,67,18,17,33336
,,,Jun,42,56,26,34193
,,,Jul,68,88,16,36040
,,,Aug,69,97,17,36812
,,,Sep,71,15,14,32968
,,,Oct,50,10 or fewer,10 or fewer,31372
,,,Nov,60,10 or fewer,17,29946
,,,Dec,54,10 or fewer,15,34991
,65 Years or more,2021,Jan,12,10 or fewer,10 or fewer,28128
,,,Feb,12,10 or fewer,10 or fewer,24828
,,,Mar,10 or fewer,10 or fewer,10 or fewer,27986
,,,Apr,12,11,10 or fewer,28487
,,,May,16,18,10 or fewer,30169
,,,Jun,12,46,10 or fewer,30900
,,,Jul,10 or fewer,67,10 or fewer,32848
,,,Aug,24,61,10 or fewer,31473
,,,Sep,10 or fewer,15,10 or fewer,28805
,,,Oct,14,10 or fewer,10 or fewer,29739
,,,Nov,10 or fewer,10 or fewer,10 or fewer,29113
,,,Dec,14,10 or fewer,10 or fewer,32378
,No value,2021,Jan,10 or fewer,10 or fewer,10 or fewer,4532
,,,Feb,10 or fewer,10 or fewer,10 or fewer,4483
,,,Mar,10 or fewer,10 or fewer,10 or fewer,4104
,,,Apr,10 or fewer,10 or fewer,10 or fewer,4083
,,,May,10 or fewer,10 or fewer,10 or fewer,4261
,,,Jun,10 or fewer,10 or fewer,10 or fewer,4358
,,,Jul,10 or fewer,10 or fewer,10 or fewer,4325
,,,Aug,10 or fewer,10 or fewer,10 or fewer,4847
,,,Sep,10 or fewer,10 or fewer,10 or fewer,5250
,,,Oct,10 or fewer,10 or fewer,10 or fewer,5015
,,,Nov,10 or fewer,10 or fewer,10 or fewer,4752
,,,Dec,10 or fewer,10 or fewer,10 or fewer,4834
,"Total: Total includes all data under the North Carolina bucket, including data from rows not currently displayed.",2021,Jan,204,10 or fewer,131,123344
,,,Feb,173,10 or fewer,145,110674
,,,Mar,192,15,134,128294
,,,Apr,217,30,150,135322
,,,May,236,65,159,144275
,,,Jun,210,206,165,145451
,,,Jul,241,303,154,155232
,,,Aug,252,307,136,160663
,,,Sep,226,54,166,150697
,,,Oct,216,14,151,143678
,,,Nov,207,10 or fewer,148,136900
,,,Dec,225,10 or fewer,134,157263
New York,Less than 15 Years,2021,Jan,10 or fewer,10 or fewer,10 or fewer,8682
,,,Feb,10 or fewer,10 or fewer,10 or fewer,7761
,,,Mar,10 or fewer,10 or fewer,10 or fewer,10180
,,,Apr,10 or fewer,10 or fewer,10 or fewer,11591
,,,May,10 or fewer,10 or fewer,10 or fewer,13949
,,,Jun,10 or fewer,19,10 or fewer,14454
,,,Jul,10 or fewer,10 or fewer,10 or fewer,15647
,,,Aug,10 or fewer,10 or fewer,10 or fewer,15732
,,,Sep,10 or fewer,10 or fewer,10 or fewer,18611
,,,Oct,10 or fewer,10 or fewer,10 or fewer,20018
,,,Nov,10 or fewer,10 or fewer,10 or fewer,18280
,,,Dec,10 or fewer,10 or fewer,10 or fewer,20081
,≥ 15 and < 25 Years,2021,Jan,17,10 or fewer,15,13003
,,,Feb,15,10 or fewer,17,11224
,,,Mar,21,10 or fewer,29,13371
,,,Apr,15,10 or fewer,22,14349
,,,May,10 or fewer,10 or fewer,22,15519
,,,Jun,14,27,47,15989
,,,Jul,23,13,28,17279
,,,Aug,22,29,38,17438
,,,Sep,11,10 or fewer,26,18308
,,,Oct,10 or fewer,10 or fewer,22,18585
,,,Nov,13,10 or fewer,23,16950
,,,Dec,17,10 or fewer,14,18404
,≥ 25 and < 45 Years,2021,Jan,64,10 or fewer,26,31358
,,,Feb,53,10 or fewer,24,27018
,,,Mar,80,10 or fewer,33,31041
,,,Apr,63,10 or fewer,34,31962
,,,May,83,14,52,34617
,,,Jun,99,42,48,36101
,,,Jul,132,27,62,39140
,,,Aug,113,37,58,40172
,,,Sep,103,10 or fewer,42,37644
,,,Oct,108,10 or fewer,34,37744
,,,Nov,82,10 or fewer,36,36123
,,,Dec,109,10 or fewer,40,42131
,≥ 45 and < 65 Years,2021,Jan,29,10 or fewer,10 or fewer,29053
,,,Feb,38,10 or fewer,10 or fewer,25462
,,,Mar,49,10 or fewer,10 or fewer,29191
,,,Apr,58,10 or fewer,10 or fewer,28892
,,,May,49,10 or fewer,11,31167
,,,Jun,59,53,13,32529
,,,Jul,75,29,10 or fewer,34325
,,,Aug,66,49,14,35453
,,,Sep,63,10 or fewer,10 or fewer,33273
,,,Oct,60,10 or fewer,10 or fewer,33022
,,,Nov,59,10 or fewer,12,33130
,,,Dec,53,10 or fewer,10 or fewer,37127
,65 Years or more,2021,Jan,10 or fewer,10 or fewer,10 or fewer,27866
,,,Feb,10 or fewer,10 or fewer,10 or fewer,23799
,,,Mar,10 or fewer,10 or fewer,10 or fewer,28011
,,,Apr,10 or fewer,10 or fewer,10 or fewer,27822
,,,May,12,19,10 or fewer,30382
,,,Jun,11,54,10 or fewer,31585
,,,Jul,11,25,10 or fewer,33221
,,,Aug,11,44,10 or fewer,33539
,,,Sep,14,10 or fewer,10 or fewer,31843
,,,Oct,19,10 or fewer,10 or fewer,32015
,,,Nov,14,10 or fewer,10 or fewer,32226
,,,Dec,11,10 or fewer,10 or fewer,34576
,No value,2021,Jan,10 or fewer,10 or fewer,10 or fewer,4873
,,,Feb,10 or fewer,10 or fewer,10 or fewer,5097
